municipio,poblacion,planta_id,distancia_km,produccion_t,tkm,C_trans,C_trat,C_tot
Carbajo,227,39,32.50,113.50,3689.03,11.38,8.61,19.98
Fuenlabrada de los Montes,1955,11,33.62,977.50,32861.61,11.77,8.20,19.97
Casas de Don Pedro,1632,11,33.49,816.00,27327.29,11.72,8.20,19.92
Berrocalejo,105,27,32.89,52.50,1726.92,11.51,8.41,19.92
Mohedas de Granadilla,976,21,30.01,488.00,14644.31,10.50,9.38,19.88
Oliva de Mérida,1875,1,32.40,937.50,30379.16,11.34,8.50,19.84
Palomero,452,25,31.92,226.00,7213.40,11.17,8.64,19.81
Marchagaz,248,21,29.70,124.00,3683.01,10.40,9.38,19.77
Ceclavín,2054,24,4.89,1027.00,5018.05,1.71,18.04,19.75
Botija,199,41,31.10,99.50,3094.13,10.88,8.80,19.68
Garrovillas de Alconétar,2280,44,27.80,1140.00,31696.40,9.73,9.90,19.64
Cordobilla de Lácara,967,41,30.96,483.50,14966.83,10.83,8.80,19.63
Santibáñez el Bajo,829,22,30.57,414.50,12672.56,10.70,8.81,19.51
Cerezo,190,22,30.46,95.00,2894.06,10.66,8.81,19.48
Santa Marta de Magasca,309,19,30.45,154.50,4704.79,10.66,8.81,19.47
Hervás,4126,22,30.22,2063.00,62338.11,10.58,8.81,19.39
Valle de la Serena,1425,6,30.62,712.50,21815.11,10.72,8.55,19.26
Salorino,689,39,30.21,344.50,10406.11,10.57,8.61,19.18
Plasenzuela,538,41,29.17,269.00,7847.82,10.21,8.80,19.01
Capilla,187,7,21.43,93.50,2003.56,7.50,11.44,18.94
Guadalupe,2096,45,29.25,1048.00,30658.83,10.24,8.69,18.93
Peraleda de San Román,294,27,29.94,147.00,4401.57,10.48,8.41,18.89
Guareña,7312,3,37.30,3656.00,136377.68,13.06,5.83,18.89
Higuera de Vargas,2154,13,34.60,1077.00,37267.73,12.11,6.59,18.70
Monesterio,4378,10,34.14,2189.00,74723.69,11.95,6.66,18.61
Jaraicejo,590,27,29.06,295.00,8571.56,10.17,8.41,18.58
Cabrero,369,22,27.80,184.50,5129.19,9.73,8.81,18.54
Acebo,685,31,27.68,342.50,9481.01,9.69,8.81,18.50
Torno. El,988,22,27.64,494.00,13656.15,9.68,8.81,18.49
Jerez de los Caballeros,10237,5,32.11,5118.50,164378.18,11.24,7.09,18.33
Calzadilla de los Barros,863,5,32.05,431.50,13828.24,11.22,7.09,18.30
Ahigal,1457,22,26.84,728.50,19552.48,9.39,8.81,18.21
Cabezabellosa,418,22,26.70,209.00,5579.92,9.34,8.81,18.16
Torrejoncillo,3338,29,36.50,1669.00,60916.65,12.77,5.31,18.09
Puebla de Obando,1988,18,43.67,994.00,43405.09,15.28,2.80,18.08
Santiago de Alcántara,685,39,27.01,342.50,9251.10,9.45,8.61,18.06
Mesas de Ibor,173,27,27.39,86.50,2369.09,9.59,8.41,18.00
Rosalejo,1284,27,27.31,642.00,17530.40,9.56,8.41,17.97
Cristina,562,3,34.61,281.00,9726.11,12.11,5.83,17.95
Hoyos,976,31,25.78,488.00,12582.41,9.02,8.81,17.84
Barrado,477,22,25.69,238.50,6126.25,8.99,8.81,17.80
Peñalsordo,1210,7,18.08,605.00,10935.38,6.33,11.44,17.77
Guijo de Granadilla,625,22,25.57,312.50,7989.64,8.95,8.81,17.76
Perales del Puerto,970,31,25.45,485.00,12342.39,8.91,8.81,17.72
Barcarrota,3698,13,31.78,1849.00,58763.29,11.12,6.59,17.71
Acedera,821,3,33.91,410.50,13920.36,11.87,5.83,17.70
Membrío,851,39,25.66,425.50,10918.04,8.98,8.61,17.59
Torrequemada,604,41,25.04,302.00,7562.76,8.76,8.80,17.56
Mérida,56395,14,38.41,28197.50,1083045.92,13.44,4.03,17.47
Casar de Palomero,1378,21,22.90,689.00,15777.56,8.01,9.38,17.39
Alburquerque,5704,18,41.64,2852.00,118758.75,14.57,2.80,17.37
Piornal,1537,22,24.37,768.50,18728.36,8.53,8.81,17.34
Gordo. El,338,27,25.48,169.00,4306.28,8.92,8.41,17.33
Cheles,1287,13,30.65,643.50,19723.42,10.73,6.59,17.31
Entrín Bajo,602,4,29.75,301.00,8956.06,10.41,6.83,17.25
Usagre,1956,1,24.92,978.00,24374.97,8.72,8.50,17.22
Esparragosa de Lares,1021,11,25.66,510.50,13101.72,8.98,8.20,17.19
Ladrillar,228,21,22.26,114.00,2537.90,7.79,9.38,17.17
Santa Ana,299,41,23.85,149.50,3565.74,8.35,8.80,17.15
Miajadas,10338,36,2.78,5169.00,14357.21,0.97,16.09,17.06
Cabeza la Vaca,1479,8,23.30,739.50,17233.13,8.16,8.84,17.00
Robledillo de Trujillo,420,41,23.42,210.00,4918.76,8.20,8.80,17.00
Puebla de la Reina,860,1,24.04,430.00,10337.14,8.41,8.50,16.91
Don Álvaro,743,14,36.79,371.50,13666.16,12.88,4.03,16.91
Villanueva de la Vera,2108,22,22.74,1054.00,23968.49,7.96,8.81,16.77
Orellana de la Sierra,311,3,31.07,155.50,4831.17,10.87,5.83,16.71
Escurial,851,36,1.69,425.50,720.25,0.59,16.09,16.68
