municipio,poblacion,planta_id,distancia_km,produccion_t,tkm,C_trans,C_trat,C_tot
Aldeanueva del Camino,800,22,0.82,400.00,327.24,0.29,8.81,9.10
Santos de Maimona. Los,8193,9,13.93,4096.50,57082.83,4.88,4.22,9.09
Trasierra,691,10,6.91,345.50,2388.58,2.42,6.66,9.08
Zafra,16424,9,13.79,8212.00,113257.99,4.83,4.22,9.04
Pueblonuevo del Guadiana,2018,18,17.64,1009.00,17801.46,6.17,2.80,8.97
Almaraz,1321,27,1.21,660.50,799.81,0.42,8.41,8.83
Esparragalejo,1580,14,13.50,790.00,10664.64,4.72,4.03,8.76
Ribera del Fresno,3466,1,0.60,1733.00,1038.35,0.21,8.50,8.71
Malpartida de Cáceres,4469,46,14.92,2234.50,33336.86,5.22,3.49,8.71
Don Benito,35791,3,8.11,17895.50,145142.60,2.84,5.83,8.67
Atalaya,338,5,4.33,169.00,731.85,1.52,7.09,8.60
Talavera la Real,5509,4,3.21,2754.50,8841.84,1.12,6.83,7.96
Coronada. La,2239,3,5.44,1119.50,6088.49,1.90,5.83,7.74
Olivenza,11852,13,3.17,5926.00,18760.89,1.11,6.59,7.69
Arroyo de San Serván,4276,14,10.35,2138.00,22134.67,3.62,4.03,7.66
Llerena,5997,10,2.72,2998.50,8141.43,0.95,6.66,7.61
Cáceres,93131,46,11.23,46565.50,523115.10,3.93,3.49,7.42
Plasencia,41148,29,5.72,20574.00,117591.41,2.00,5.31,7.31
Badajoz,148334,18,10.40,74167.00,771470.16,3.64,2.80,6.44
Casar de Cáceres,4879,46,5.99,2439.50,14621.76,2.10,3.49,5.58
Fuente del Maestre,6962,9,2.68,3481.00,9323.61,0.94,4.22,5.15
Calamonte,6178,14,2.78,3089.00,8580.53,0.97,4.03,5.00
