municipio,planta_id,poblacion,produccion_t,d_km,d_obra_km,C_loopA_euro_t,LC0_euro_hab,CE0_kg_hab,LC_S1_euro_hab,CE_S1_kg_hab,LC_S2_euro_hab,CE_S2_kg_hab,onsite_S2,LC_S2cap_euro_hab,CE_S2cap_kg_hab,onsite_S2cap,LC_S3_euro_hab,CE_S3_kg_hab,onsite_S3,credito_EF5_kg_hab
Villarta de los Montes,11,587,293.5,117.13,33.44,60.90,30.4521,5.7671,17.5946,1.8351,17.5946,1.8351,1,17.5946,1.8351,1,13.4530,1.8351,1,0.3500
Carrascalejo,42,337,168.5,54.19,16.65,44.86,22.4290,3.3752,18.3471,1.1176,18.3471,1.1176,1,18.3471,1.1176,1,11.5448,1.1176,1,0.3500
Helechosa de los Montes,11,716,358.0,86.49,33.44,50.17,25.0871,4.8479,15.2178,1.5594,15.2178,1.5594,1,15.2178,1.5594,1,11.8435,1.5594,1,0.3500
Valdecaballeros,11,1218,609.0,67.27,33.44,43.44,21.7221,4.2713,12.7692,1.3864,12.7692,1.3864,1,12.7692,1.3864,1,10.8340,1.3864,1,0.3500
Cabañas del Castillo,42,423,211.5,32.69,16.65,37.33,18.6640,2.7302,15.7094,0.9241,15.7094,0.9241,1,15.7094,0.9241,1,10.4153,0.9241,1,0.3500
Valencia del Mombuey,5,782,391.0,69.19,32.00,42.51,21.2551,4.2857,13.7735,1.3907,13.7735,1.3907,1,13.7735,1.3907,1,10.6557,1.3907,1,0.3500
Monroy,33,994,497.0,31.43,14.27,35.84,17.9178,2.6211,12.0904,0.8913,12.0904,0.8913,1,12.0904,0.8913,1,10.1845,0.8913,1,0.3500
Santiago del Campo,30,307,153.5,25.41,12.90,35.04,17.5176,2.3993,17.5986,0.8248,17.5176,2.3993,0,17.5176,2.3993,0,10.1202,0.8248,1,0.3500
Talaván,30,923,461.5,25.31,12.90,35.01,17.5026,2.3963,12.1593,0.8239,12.1593,0.8239,1,12.1593,0.8239,1,10.1157,0.8239,1,0.3500
Granja de Torrehermosa,16,2377,1188.5,44.02,23.94,38.19,19.0942,3.2887,10.9800,1.0916,10.9800,1.0916,1,10.9800,1.0916,1,10.3672,1.0916,1,0.3500
Castilblanco,11,1151,575.5,57.66,33.44,40.08,20.0421,3.9830,12.3847,1.2999,12.3847,1.2999,1,12.3847,1.2999,1,10.3300,1.2999,1,0.3500
Higuera la Real,5,2474,1237.0,60.81,32.00,39.57,19.7851,4.0343,11.1460,1.3153,11.1460,1.3153,1,11.1460,1.3153,1,10.2147,1.3153,1,0.3500
Hinojal,30,441,220.5,18.63,12.90,32.67,16.3326,2.1959,14.7687,0.7638,14.7687,0.7638,1,14.7687,0.7638,1,9.7647,0.7638,1,0.3500
Deleitosa,42,838,419.0,23.05,16.65,33.96,16.9790,2.4410,12.2770,0.8373,12.2770,0.8373,1,12.2770,0.8373,1,9.9098,0.8373,1,0.3500
Torrejón el Rubio,33,614,307.0,21.99,14.27,32.53,16.2628,2.3379,13.1505,0.8064,13.1505,0.8064,1,13.1505,0.8064,1,9.6880,0.8064,1,0.3500
Fresnedoso de Ibor,42,329,164.5,17.19,16.65,31.91,15.9540,2.2652,16.5850,0.7846,15.9540,2.2652,0,15.9540,2.2652,0,9.6023,0.7846,1,0.3500
Malcocinado,10,449,224.5,54.90,26.70,35.23,17.6128,3.6981,15.0518,1.2144,15.0518,1.2144,1,15.0518,1.2144,1,9.5529,1.2144,1,0.3500
Villar del Pedroso,27,673,336.5,49.61,9.83,29.21,14.6052,3.0332,12.2963,1.0150,12.2963,1.0150,1,12.2963,1.0150,1,8.6445,1.0150,1,0.3500
Eljas,31,1033,516.5,48.34,30.51,36.41,18.2037,3.6154,12.0812,1.1896,12.0812,1.1896,1,12.0812,1.1896,1,9.8303,1.1896,1,0.3500
Valverde del Fresno,31,2509,1254.5,47.38,30.51,36.07,18.0337,3.5866,10.6065,1.1810,10.6065,1.1810,1,10.6065,1.1810,1,9.7793,1.1810,1,0.3500
Herrera de Alcántara,39,285,142.5,47.17,16.47,30.89,15.4431,3.1593,17.6048,1.0528,15.4431,3.1593,0,15.4431,3.1593,0,8.9754,1.0528,1,0.3500
San Martín de Trevejo,31,916,458.0,46.39,30.51,35.73,17.8637,3.5569,12.2884,1.1721,12.2884,1.1721,1,12.2884,1.1721,1,9.7283,1.1721,1,0.3500
Pedroso de Acim,30,115,57.5,9.51,12.90,29.48,14.7376,1.9223,30.3604,0.6817,14.7376,1.9223,0,14.7376,1.9223,0,9.2862,0.6817,1,0.3500
Piedras Albas,24,207,103.5,19.59,9.40,28.19,14.0953,2.1198,20.5059,0.7409,14.0953,2.1198,0,14.0953,2.1198,0,8.9815,0.7409,1,0.3500
Cedillo,39,497,248.5,45.47,16.47,30.30,15.1481,3.1083,13.7746,1.0375,13.7746,1.0375,1,13.7746,1.0375,1,8.8869,1.0375,1,0.3500
Garganta. La,22,490,245.0,44.70,14.86,29.66,14.8297,3.0367,13.7510,1.0160,13.7510,1.0160,1,13.7510,1.0160,1,8.6987,1.0160,1,0.3500
Oliva de la Frontera,5,5612,2806.0,49.23,32.00,35.52,17.7601,3.6869,9.9735,1.2111,9.9735,1.2111,1,9.9735,1.2111,1,9.6072,1.2111,1,0.3500
Mirabel,33,730,365.0,12.78,14.27,29.31,14.6528,2.0616,12.0205,0.7235,12.0205,0.7235,1,12.0205,0.7235,1,9.2050,0.7235,1,0.3500
Acehúche,24,852,426.0,17.89,9.40,27.59,13.7953,2.0688,11.2729,0.7256,11.2729,0.7256,1,11.2729,0.7256,1,8.8915,0.7256,1,0.3500
Casas de Millán,30,690,345.0,7.55,12.90,28.79,14.3926,1.8635,12.1410,0.6641,12.1410,0.6641,1,12.1410,0.6641,1,9.1827,0.6641,1,0.3500
Pesga. La,21,1123,561.5,41.77,21.42,31.50,15.7493,3.1458,11.1510,1.0488,11.1510,1.0488,1,11.1510,1.0488,1,9.2069,1.0488,1,0.3500
Zah¡nos,13,2906,1453.0,48.82,22.19,31.45,15.7237,3.3804,9.7774,1.1191,9.7774,1.1191,1,9.7774,1.1191,1,8.9845,1.1191,1,0.3500
Robledollano,42,402,201.0,9.51,16.65,29.22,14.6090,2.0348,14.8016,0.7155,14.6090,2.0348,0,14.6090,2.0348,0,9.1988,0.7155,1,0.3500
Peraleda del Zaucejo,16,608,304.0,25.16,23.94,31.58,15.7892,2.7229,13.0486,0.9219,13.0486,0.9219,1,13.0486,0.9219,1,9.3757,0.9219,1,0.3500
Herreruela,44,386,193.0,37.69,16.91,29.01,14.5045,2.8880,15.0280,0.9714,14.5045,2.8880,0,14.5045,2.8880,0,8.8499,0.9714,1,0.3500
Navalvillar de Ibor,42,504,252.0,8.48,16.65,28.86,14.4290,2.0039,13.4890,0.7062,13.4890,0.7062,1,13.4890,0.7062,1,9.1448,0.7062,1,0.3500
Madrigalejo,45,1953,976.5,40.60,26.24,32.08,16.0411,3.2551,10.2924,1.0815,10.2924,1.0815,1,10.2924,1.0815,1,9.1626,1.0815,1,0.3500
Herrera del Duque,11,3688,1844.0,41.87,33.44,34.55,17.2771,3.5093,10.0610,1.1578,10.0610,1.1578,1,10.0610,1.1578,1,9.5005,1.1578,1,0.3500
Valdelacasa de Tajo,27,455,227.5,41.08,9.83,26.23,13.1152,2.7773,13.6291,0.9382,13.1152,2.7773,0,13.1152,2.7773,0,8.1975,0.9382,1,0.3500
Campillo de Deleitosa,27,79,39.5,41.01,9.83,26.20,13.1002,2.7752,39.7756,0.9376,13.1002,2.7752,0,13.1002,2.7752,0,8.1930,0.9376,1,0.3500
Al¡a,45,1021,510.5,39.40,26.24,31.66,15.8311,3.2191,11.3979,1.0707,11.3979,1.0707,1,11.3979,1.0707,1,9.0996,1.0707,1,0.3500
Cañaveral,30,1284,642.0,2.20,12.90,26.92,13.4576,1.7030,10.1843,0.6159,10.1843,0.6159,1,10.1843,0.6159,1,8.9022,0.6159,1,0.3500
Villamiel,31,675,337.5,38.40,30.51,32.93,16.4637,3.3172,12.8428,1.1002,12.8428,1.1002,1,12.8428,1.1002,1,9.3083,1.1002,1,0.3500
Baños de Montemayor,22,703,351.5,38.36,14.86,27.43,13.7147,2.8465,11.8706,0.9589,11.8706,0.9589,1,11.8706,0.9589,1,8.3642,0.9589,1,0.3500
Alcollarín,36,266,133.0,16.99,5.80,24.07,12.0352,1.9337,17.2091,0.6851,12.0352,1.9337,0,12.0352,1.9337,0,7.9745,0.6851,1,0.3500
Manchita,3,764,382.0,45.83,15.82,27.41,13.7039,3.0996,11.5834,1.0349,11.5834,1.0349,1,11.5834,1.0349,1,8.3376,1.0349,1,0.3500
Cilleros,31,1868,934.0,36.74,30.51,32.35,16.1737,3.2674,10.3904,1.0852,10.3904,1.0852,1,10.3904,1.0852,1,9.2213,1.0852,1,0.3500
Campillo de Llerena,10,1518,759.0,42.74,26.70,30.97,15.4828,3.3333,10.4918,1.1050,10.4918,1.1050,1,10.4918,1.1050,1,8.9139,1.1050,1,0.3500
Valle de Santa Ana,9,1192,596.0,49.43,18.53,28.01,14.0036,3.2889,10.4984,1.0917,10.4984,1.0917,1,10.4984,1.0917,1,8.4307,1.0917,1,0.3500
Abertura,36,454,227.0,15.50,5.80,23.55,11.7752,1.8890,13.2392,0.6717,11.7752,1.8890,0,11.7752,1.8890,0,7.8965,0.6717,1,0.3500
Villagarcía de la Torre,1,986,493.0,37.15,15.43,26.90,13.4501,2.8274,10.7705,0.9532,10.7705,0.9532,1,10.7705,0.9532,1,8.3146,0.9532,1,0.3500
Villanueva del Fresno,13,3678,1839.0,42.26,22.19,29.15,14.5737,3.1836,9.2518,1.0601,9.2518,1.0601,1,9.2518,1.0601,1,8.6395,1.0601,1,0.3500
Zarza la Mayor,24,1409,704.5,9.35,9.40,24.60,12.3003,1.8126,9.6644,0.6488,9.6644,0.6488,1,9.6644,0.6488,1,8.4430,0.6488,1,0.3500
Villamesías,36,311,155.5,14.91,5.80,23.34,11.6702,1.8713,15.7396,0.6664,11.6702,1.8713,0,11.6702,1.8713,0,7.8650,0.6664,1,0.3500
Valle de Matamoros,5,423,211.5,40.60,32.00,32.50,16.2501,3.4280,14.9852,1.1334,14.9852,1.1334,1,14.9852,1.1334,1,9.1542,1.1334,1,0.3500
Aldeacentenera,19,774,387.0,35.41,15.66,26.68,13.3396,2.7820,11.4319,0.9396,11.4319,0.9396,1,11.4319,0.9396,1,8.3341,0.9396,1,0.3500
Retamal de Llerena,6,501,250.5,35.94,9.98,24.62,12.3111,2.6275,12.8834,0.8933,12.3111,2.6275,0,12.3111,2.6275,0,8.0107,0.8933,1,0.3500
Campo Lugar,36,1030,515.0,14.29,5.80,23.12,11.5602,1.8527,10.0952,0.6608,10.0952,0.6608,1,10.0952,0.6608,1,7.8320,0.6608,1,0.3500
Valdecañas de Tajo,27,119,59.5,36.13,9.83,24.49,12.2452,2.6288,28.8820,0.8936,12.2452,2.6288,0,12.2452,2.6288,0,7.9365,0.8936,1,0.3500
Codosera. La,39,2322,1161.0,35.39,16.47,26.77,13.3831,2.8059,9.2916,0.9468,9.2916,0.9468,1,9.2916,0.9468,1,8.3574,0.9468,1,0.3500
Almoharín,36,1997,998.5,13.70,5.80,22.91,11.4552,1.8350,8.8884,0.6555,8.8884,0.6555,1,8.8884,0.6555,1,7.8005,0.6555,1,0.3500
Garciaz,19,851,425.5,34.37,15.66,26.32,13.1596,2.7508,11.0856,0.9302,11.0856,0.9302,1,11.0856,0.9302,1,8.2801,0.9302,1,0.3500
Casta¤ar de Ibor,42,1225,612.5,1.97,16.65,26.58,13.2890,1.8086,10.2275,0.6476,10.2275,0.6476,1,10.2275,0.6476,1,8.8028,0.6476,1,0.3500
Serradilla,33,1766,883.0,2.55,14.27,25.73,12.8628,1.7547,9.4745,0.6314,9.4745,0.6314,1,9.4745,0.6314,1,8.6680,0.6314,1,0.3500
Salvaleón,13,2049,1024.5,39.70,22.19,28.26,14.1287,3.1068,9.6587,1.0370,9.6587,1.0370,1,9.6587,1.0370,1,8.5060,1.0370,1,0.3500
Navalvillar de Pela,45,4787,2393.5,33.53,26.24,29.60,14.8011,3.0430,9.1626,1.0179,9.1626,1.0179,1,9.1626,1.0179,1,8.7906,1.0179,1,0.3500
Garvín,27,105,52.5,34.28,9.83,23.85,11.9252,2.5733,31.5871,0.8770,11.9252,2.5733,0,11.9252,2.5733,0,7.8405,0.8770,1,0.3500
Navezuelas,45,698,349.0,33.34,26.24,29.54,14.7711,3.0373,12.2130,1.0162,12.2130,1.0162,1,12.2130,1.0162,1,8.7816,1.0162,1,0.3500
Calera de León,8,1060,530.0,32.80,12.07,24.54,12.2724,2.5961,10.2402,0.8838,10.2402,0.8838,1,10.2402,0.8838,1,8.0652,0.8838,1,0.3500
Azuaga,10,8301,4150.5,39.02,26.70,29.67,14.8328,3.2217,8.9510,1.0715,8.9510,1.0715,1,8.9510,1.0715,1,8.7189,1.0715,1,0.3500
Madrigal de la Vera,22,1819,909.5,32.22,14.86,25.29,12.6447,2.6623,9.3678,0.9037,9.3678,0.9037,1,9.3678,0.9037,1,8.0432,0.9037,1,0.3500
Bienvenida,1,2326,1163.0,33.06,15.43,25.47,12.7351,2.7047,9.0954,0.9164,9.0954,0.9164,1,9.0954,0.9164,1,8.1001,0.9164,1,0.3500
Carbajo,39,227,113.5,32.50,16.47,25.76,12.8781,2.7192,19.0766,0.9208,12.8781,2.7192,0,12.8781,2.7192,0,8.2059,0.9208,1,0.3500
Fuenlabrada de los Montes,11,1955,977.5,33.62,33.44,31.67,15.8371,3.2618,10.2299,1.0835,10.2299,1.0835,1,10.2299,1.0835,1,9.0685,1.0835,1,0.3500
Casas de Don Pedro,11,1632,816.0,33.49,33.44,31.62,15.8121,3.2579,10.4755,1.0824,10.4755,1.0824,1,10.4755,1.0824,1,9.0610,1.0824,1,0.3500
Berrocalejo,27,105,52.5,32.89,9.83,23.36,11.6802,2.5316,31.5136,0.8645,11.6802,2.5316,0,11.6802,2.5316,0,7.7670,0.8645,1,0.3500
Mohedas de Granadilla,21,976,488.0,30.01,21.42,27.38,13.6893,2.7930,10.8683,0.9429,10.8683,0.9429,1,10.8683,0.9429,1,8.5889,0.9429,1,0.3500
Oliva de Mérida,1,1875,937.5,32.40,15.43,25.24,12.6201,2.6849,9.3194,0.9105,9.3194,0.9105,1,9.3194,0.9105,1,8.0656,0.9105,1,0.3500
Palomero,25,452,226.0,31.92,8.52,22.79,11.3954,2.4631,13.1496,0.8439,11.3954,2.4631,0,11.3954,2.4631,0,7.8443,0.8439,1,0.3500
Marchagaz,21,248,124.0,29.70,21.42,27.28,13.6393,2.7837,18.3724,0.9401,13.6393,2.7837,0,13.6393,2.7837,0,8.5739,0.9401,1,0.3500
Ceclavín,24,2054,1027.0,4.89,9.40,23.04,11.5203,1.6788,8.8732,0.6086,8.8732,0.6086,1,8.8732,0.6086,1,8.2090,0.6086,1,0.3500
Botija,41,199,99.5,31.10,14.01,24.58,12.2924,2.6034,20.4505,0.8860,12.2924,2.6034,0,12.2924,2.6034,0,8.0536,0.8860,1,0.3500
Garrovillas de Alconétar,44,2280,1140.0,27.80,16.91,25.55,12.7745,2.5913,9.1289,0.8824,9.1289,0.8824,1,9.1289,0.8824,1,8.3309,0.8824,1,0.3500
Cordobilla de Lácara,41,967,483.5,30.96,14.01,24.53,12.2674,2.5992,10.4655,0.8848,10.4655,0.8848,1,10.4655,0.8848,1,8.0461,0.8848,1,0.3500
Santibáñez el Bajo,22,829,414.5,30.57,14.86,24.71,12.3547,2.6128,10.9221,0.8888,10.9221,0.8888,1,10.9221,0.8888,1,7.9562,0.8888,1,0.3500
Cerezo,22,190,95.0,30.46,14.86,24.67,12.3347,2.6095,21.0583,0.8878,12.3347,2.6095,0,12.3347,2.6095,0,7.9502,0.8878,1,0.3500
Santa Marta de Magasca,19,309,154.5,30.45,15.66,24.95,12.4746,2.6332,16.0330,0.8949,12.4746,2.6332,0,12.4746,2.6332,0,8.0746,0.8949,1,0.3500
Hervás,22,4126,2063.0,30.22,14.86,24.59,12.2947,2.6023,8.4943,0.8857,8.4943,0.8857,1,8.4943,0.8857,1,7.9382,0.8857,1,0.3500
Valle de la Serena,6,1425,712.5,30.62,9.98,22.76,11.3811,2.4679,9.3687,0.8454,9.3687,0.8454,1,9.3687,0.8454,1,7.7317,0.8454,1,0.3500
Salorino,39,689,344.5,30.21,16.47,24.95,12.4731,2.6505,11.5704,0.9002,11.5704,0.9002,1,11.5704,0.9002,1,8.0844,0.9002,1,0.3500
Plasenzuela,41,538,269.0,29.17,14.01,23.91,11.9574,2.5455,12.4341,0.8687,11.9574,2.5455,0,11.9574,2.5455,0,7.9531,0.8687,1,0.3500
Capilla,7,187,93.5,21.43,5.46,20.85,10.4264,2.0568,20.6969,0.7221,10.4264,2.0568,0,10.4264,2.0568,0,7.6746,0.7221,1,0.3500
Guadalupe,45,2096,1048.0,29.25,26.24,28.11,14.0561,2.9146,9.6096,0.9794,9.6096,0.9794,1,9.6096,0.9794,1,8.5671,0.9794,1,0.3500
Peraleda de San Román,27,294,147.0,29.94,9.83,22.33,11.1652,2.4431,16.0530,0.8379,11.1652,2.4431,0,11.1652,2.4431,0,7.6125,0.8379,1,0.3500
Guareña,3,7312,3656.0,37.30,15.82,24.43,12.2139,2.8437,8.2061,0.9581,8.2061,0.9581,1,8.2061,0.9581,1,7.8906,0.9581,1,0.3500
Higuera de Vargas,13,2154,1077.0,34.60,22.19,26.47,13.2337,2.9538,9.3307,0.9911,9.3307,0.9911,1,9.3307,0.9911,1,8.2375,0.9911,1,0.3500
Monesterio,10,4378,2189.0,34.14,26.70,27.96,13.9778,3.0753,8.9644,1.0276,8.9644,1.0276,1,8.9644,1.0276,1,8.4624,1.0276,1,0.3500
Jaraicejo,27,590,295.0,29.06,9.83,22.02,11.0102,2.4167,11.7404,0.8300,11.0102,2.4167,0,11.0102,2.4167,0,7.5660,0.8300,1,0.3500
Cabrero,22,369,184.5,27.80,14.86,23.74,11.8697,2.5297,14.5360,0.8639,11.8697,2.5297,0,11.8697,2.5297,0,7.8107,0.8639,1,0.3500
Acebo,31,685,342.5,27.68,30.51,29.18,14.5887,2.9956,12.2262,1.0037,12.2262,1.0037,1,12.2262,1.0037,1,8.7458,1.0037,1,0.3500
Torno. El,22,988,494.0,27.64,14.86,23.69,11.8447,2.5249,10.2838,0.8625,10.2838,0.8625,1,10.2838,0.8625,1,7.8032,0.8625,1,0.3500
Jerez de los Caballeros,5,10237,5118.5,32.11,32.00,29.53,14.7651,3.1733,8.8737,1.0570,8.8737,1.0570,1,8.8737,1.0570,1,8.7087,1.0570,1,0.3500
Calzadilla de los Barros,5,863,431.5,32.05,32.00,29.51,14.7551,3.1715,11.5234,1.0565,11.5234,1.0565,1,11.5234,1.0565,1,8.7057,1.0565,1,0.3500
Ahigal,22,1457,728.5,26.84,14.86,23.40,11.6997,2.5009,9.4258,0.8553,9.4258,0.8553,1,9.4258,0.8553,1,7.7597,0.8553,1,0.3500
Cabezabellosa,22,418,209.0,26.70,14.86,23.35,11.6747,2.4967,13.6833,0.8540,11.6747,2.4967,0,11.6747,2.4967,0,7.7522,0.8540,1,0.3500
