municipio,planta_id,poblacion,produccion_t,d_km,d_obra_km,C_loopA_euro_t,LC0_euro_hab,CE0_kg_hab,LC_S1_euro_hab,CE_S1_kg_hab,LC_S2_euro_hab,CE_S2_kg_hab,onsite_S2,LC_S2cap_euro_hab,CE_S2cap_kg_hab,onsite_S2cap,LC_S3_euro_hab,CE_S3_kg_hab,onsite_S3,credito_EF5_kg_hab
Villarta de los Montes,11,587,293.5,117.13,33.44,60.90,30.4521,5.7671,29.8206,4.6437,29.8206,4.6437,1,29.8206,4.6437,1,25.6790,4.6437,1,0.1000
Carrascalejo,42,337,168.5,54.19,16.65,44.86,22.4290,3.3752,26.5616,2.7302,22.4290,3.3752,0,22.4290,3.3752,0,19.7593,2.7302,1,0.1000
Helechosa de los Montes,11,716,358.0,86.49,33.44,50.17,25.0871,4.8479,24.7613,3.9083,24.7613,3.9083,1,24.7613,3.9083,1,21.3870,3.9083,1,0.1000
Valdecaballeros,11,1218,609.0,67.27,33.44,43.44,21.7221,4.2713,20.6302,3.4471,20.6302,3.4471,1,20.6302,3.4471,1,18.6950,3.4471,1,0.1000
Cabañas del Castillo,42,423,211.5,32.69,16.65,37.33,18.6640,2.7302,22.0414,2.2142,18.6640,2.7302,0,18.6640,2.7302,0,16.7473,2.2142,1,0.1000
Valencia del Mombuey,5,782,391.0,69.19,32.00,42.51,21.2551,4.2857,21.4010,3.4586,21.2551,4.2857,0,21.2551,4.2857,0,18.2833,3.4586,1,0.1000
Monroy,33,994,497.0,31.43,14.27,35.84,17.9178,2.6211,18.0493,2.1269,17.9178,2.6211,0,17.9178,2.6211,0,16.1434,2.1269,1,0.1000
Santiago del Campo,30,307,153.5,25.41,12.90,35.04,17.5176,2.3993,23.3574,1.9495,17.5176,2.3993,0,17.5176,2.3993,0,15.8790,1.9495,1,0.1000
Talaván,30,923,461.5,25.31,12.90,35.01,17.5026,2.3963,17.9106,1.9471,17.5026,2.3963,0,17.5026,2.3963,0,15.8670,1.9471,1,0.1000
Granja de Torrehermosa,16,2377,1188.5,44.02,23.94,38.19,19.0942,3.2887,17.5271,2.6610,17.5271,2.6610,1,17.5271,2.6610,1,16.9143,2.6610,1,0.1000
Castilblanco,11,1151,575.5,57.66,33.44,40.08,20.0421,3.9830,19.4057,3.2164,19.4057,3.2164,1,19.4057,3.2164,1,17.3510,3.2164,1,0.1000
Higuera la Real,5,2474,1237.0,60.81,32.00,39.57,19.7851,4.0343,18.0386,3.2574,18.0386,3.2574,1,18.0386,3.2574,1,17.1073,3.2574,1,0.1000
Hinojal,30,441,220.5,18.63,12.90,32.67,16.3326,2.1959,19.9350,1.7867,16.3326,2.1959,0,16.3326,2.1959,0,14.9310,1.7867,1,0.1000
Deleitosa,42,838,419.0,23.05,16.65,33.96,16.9790,2.4410,17.7665,1.9828,16.9790,2.4410,0,16.9790,2.4410,0,15.3993,1.9828,1,0.1000
Torrejón el Rubio,33,614,307.0,21.99,14.27,32.53,16.2628,2.3379,18.2819,1.9003,16.2628,2.3379,0,16.2628,2.3379,0,14.8194,1.9003,1,0.1000
Fresnedoso de Ibor,42,329,164.5,17.19,16.65,31.91,15.9540,2.2652,21.5620,1.8422,15.9540,2.2652,0,15.9540,2.2652,0,14.5793,1.8422,1,0.1000
Malcocinado,10,449,224.5,54.90,26.70,35.23,17.6128,3.6981,20.8582,2.9884,17.6128,3.6981,0,17.6128,3.6981,0,15.3593,2.9884,1,0.1000
Villar del Pedroso,27,673,336.5,49.61,9.83,29.21,14.6052,3.0332,16.5989,2.4566,14.6052,3.0332,0,14.6052,3.0332,0,12.9472,2.4566,1,0.1000
Eljas,31,1033,516.5,48.34,30.51,36.41,18.2037,3.6154,18.1831,2.9223,18.1831,2.9223,1,18.1831,2.9223,1,15.9321,2.9223,1,0.1000
Valverde del Fresno,31,2509,1254.5,47.38,30.51,36.07,18.0337,3.5866,16.6234,2.8993,16.6234,2.8993,1,16.6234,2.8993,1,15.7961,2.8993,1,0.1000
Herrera de Alcántara,39,285,142.5,47.17,16.47,30.89,15.4431,3.1593,22.3264,2.5575,15.4431,3.1593,0,15.4431,3.1593,0,13.6970,2.5575,1,0.1000
