municipio,planta_id,poblacion,produccion_t,d_km,d_obra_km,C_loopA_euro_t,LC0_euro_hab,CE0_kg_hab,LC_S1_euro_hab,CE_S1_kg_hab,LC_S2_euro_hab,CE_S2_kg_hab,onsite_S2,LC_S2cap_euro_hab,CE_S2cap_kg_hab,onsite_S2cap,LC_S3_euro_hab,CE_S3_kg_hab,onsite_S3,credito_EF5_kg_hab
Villarta de los Montes,11,587,293.5,117.13,33.44,60.90,30.4521,5.7671,24.9302,3.5203,24.9302,3.5203,1,24.9302,3.5203,1,20.7886,3.5203,1,0.2000
Carrascalejo,42,337,168.5,54.19,16.65,44.86,22.4290,3.3752,23.2758,2.0851,22.4290,3.3752,0,22.4290,3.3752,0,16.4735,2.0851,1,0.2000
Helechosa de los Montes,11,716,358.0,86.49,33.44,50.17,25.0871,4.8479,20.9439,2.9688,20.9439,2.9688,1,20.9439,2.9688,1,17.5696,2.9688,1,0.2000
Valdecaballeros,11,1218,609.0,67.27,33.44,43.44,21.7221,4.2713,17.4858,2.6228,17.4858,2.6228,1,17.4858,2.6228,1,15.5506,2.6228,1,0.2000
Cabañas del Castillo,42,423,211.5,32.69,16.65,37.33,18.6640,2.7302,19.5086,1.6981,18.6640,2.7302,0,18.6640,2.7302,0,14.2145,1.6981,1,0.2000
Valencia del Mombuey,5,782,391.0,69.19,32.00,42.51,21.2551,4.2857,18.3500,2.6314,18.3500,2.6314,1,18.3500,2.6314,1,15.2323,2.6314,1,0.2000
Monroy,33,994,497.0,31.43,14.27,35.84,17.9178,2.6211,15.6657,1.6327,15.6657,1.6327,1,15.6657,1.6327,1,13.7598,1.6327,1,0.2000
Santiago del Campo,30,307,153.5,25.41,12.90,35.04,17.5176,2.3993,21.0539,1.4996,17.5176,2.3993,0,17.5176,2.3993,0,13.5754,1.4996,1,0.2000
Talaván,30,923,461.5,25.31,12.90,35.01,17.5026,2.3963,15.6101,1.4978,15.6101,1.4978,1,15.6101,1.4978,1,13.5664,1.4978,1,0.2000
Granja de Torrehermosa,16,2377,1188.5,44.02,23.94,38.19,19.0942,3.2887,14.9083,2.0332,14.9083,2.0332,1,14.9083,2.0332,1,14.2955,2.0332,1,0.2000
Castilblanco,11,1151,575.5,57.66,33.44,40.08,20.0421,3.9830,16.5973,2.4498,16.5973,2.4498,1,16.5973,2.4498,1,14.5426,2.4498,1,0.2000
Higuera la Real,5,2474,1237.0,60.81,32.00,39.57,19.7851,4.0343,15.2815,2.4806,15.2815,2.4806,1,15.2815,2.4806,1,14.3503,2.4806,1,0.2000
Hinojal,30,441,220.5,18.63,12.90,32.67,16.3326,2.1959,17.8685,1.3775,16.3326,2.1959,0,16.3326,2.1959,0,12.8644,1.3775,1,0.2000
Deleitosa,42,838,419.0,23.05,16.65,33.96,16.9790,2.4410,15.5707,1.5246,15.5707,1.5246,1,15.5707,1.5246,1,13.2035,1.5246,1,0.2000
Torrejón el Rubio,33,614,307.0,21.99,14.27,32.53,16.2628,2.3379,16.2293,1.4627,16.2293,1.4627,1,16.2293,1.4627,1,12.7668,1.4627,1,0.2000
Fresnedoso de Ibor,42,329,164.5,17.19,16.65,31.91,15.9540,2.2652,19.5712,1.4191,15.9540,2.2652,0,15.9540,2.2652,0,12.5885,1.4191,1,0.2000
Malcocinado,10,449,224.5,54.90,26.70,35.23,17.6128,3.6981,18.5356,2.2788,17.6128,3.6981,0,17.6128,3.6981,0,13.0367,2.2788,1,0.2000
Villar del Pedroso,27,673,336.5,49.61,9.83,29.21,14.6052,3.0332,14.8779,1.8799,14.6052,3.0332,0,14.6052,3.0332,0,11.2261,1.8799,1,0.2000
Eljas,31,1033,516.5,48.34,30.51,36.41,18.2037,3.6154,15.7424,2.2292,15.7424,2.2292,1,15.7424,2.2292,1,13.4914,2.2292,1,0.2000
Valverde del Fresno,31,2509,1254.5,47.38,30.51,36.07,18.0337,3.5866,14.2166,2.2120,14.2166,2.2120,1,14.2166,2.2120,1,13.3894,2.2120,1,0.2000
Herrera de Alcántara,39,285,142.5,47.17,16.47,30.89,15.4431,3.1593,20.4378,1.9556,15.4431,3.1593,0,15.4431,3.1593,0,11.8084,1.9556,1,0.2000
San Martín de Trevejo,31,916,458.0,46.39,30.51,35.73,17.8637,3.5569,15.8475,2.1941,15.8475,2.1941,1,15.8475,2.1941,1,13.2874,2.1941,1,0.2000
Pedroso de Acim,30,115,57.5,9.51,12.90,29.48,14.7376,1.9223,32.9817,1.2134,14.7376,1.9223,0,14.7376,1.9223,0,11.9074,1.2134,1,0.2000
Piedras Albas,24,207,103.5,19.59,9.40,28.19,14.0953,2.1198,22.9345,1.3319,14.0953,2.1198,0,14.0953,2.1198,0,11.4101,1.3319,1,0.2000
Cedillo,39,497,248.5,45.47,16.47,30.30,15.1481,3.1083,16.5190,1.9250,15.1481,3.1083,0,15.1481,3.1083,0,11.6314,1.9250,1,0.2000
Garganta. La,22,490,245.0,44.70,14.86,29.66,14.8297,3.0367,16.3999,1.8820,14.8297,3.0367,0,14.8297,3.0367,0,11.3476,1.8820,1,0.2000
Oliva de la Frontera,5,5612,2806.0,49.23,32.00,35.52,17.7601,3.6869,13.5015,2.2721,13.5015,2.2721,1,13.5015,2.2721,1,13.1353,2.2721,1,0.2000
Mirabel,33,730,365.0,12.78,14.27,29.31,14.6528,2.0616,14.6163,1.2970,14.6163,1.2970,1,14.6163,1.2970,1,11.8008,1.2970,1,0.2000
Acehúche,24,852,426.0,17.89,9.40,27.59,13.7953,2.0688,13.6115,1.3013,13.6115,1.3013,1,13.6115,1.3013,1,11.2301,1.3013,1,0.2000
Casas de Millán,30,690,345.0,7.55,12.90,28.79,14.3926,1.8635,14.6587,1.1781,14.3926,1.8635,0,14.3926,1.8635,0,11.7004,1.1781,1,0.2000
Pesga. La,21,1123,561.5,41.77,21.42,31.50,15.7493,3.1458,14.0758,1.9475,14.0758,1.9475,1,14.0758,1.9475,1,12.1317,1.9475,1,0.2000
Zah¡nos,13,2906,1453.0,48.82,22.19,31.45,15.7237,3.3804,12.6945,2.0882,12.6945,2.0882,1,12.6945,2.0882,1,11.9016,2.0882,1,0.2000
Robledollano,42,402,201.0,9.51,16.65,29.22,14.6090,2.0348,17.3843,1.2809,14.6090,2.0348,0,14.6090,2.0348,0,11.7815,1.2809,1,0.2000
Peraleda del Zaucejo,16,608,304.0,25.16,23.94,31.58,15.7892,2.7229,15.9854,1.6938,15.7892,2.7229,0,15.7892,2.7229,0,12.3125,1.6938,1,0.2000
Herreruela,44,386,193.0,37.69,16.91,29.01,14.5045,2.8880,17.5794,1.7928,14.5045,2.8880,0,14.5045,2.8880,0,11.4013,1.7928,1,0.2000
Navalvillar de Ibor,42,504,252.0,8.48,16.65,28.86,14.4290,2.0039,16.0177,1.2624,14.4290,2.0039,0,14.4290,2.0039,0,11.6735,1.2624,1,0.2000
Madrigalejo,45,1953,976.5,40.60,26.24,32.08,16.0411,3.2551,13.3048,2.0130,13.3048,2.0130,1,13.3048,2.0130,1,12.1750,2.0130,1,0.2000
Herrera del Duque,11,3688,1844.0,41.87,33.44,34.55,17.2771,3.5093,13.4441,2.1656,13.4441,2.1656,1,13.4441,2.1656,1,12.8836,2.1656,1,0.2000
Valdelacasa de Tajo,27,455,227.5,41.08,9.83,26.23,13.1152,2.7773,15.7636,1.7264,13.1152,2.7773,0,13.1152,2.7773,0,10.3321,1.7264,1,0.2000
Campillo de Deleitosa,27,79,39.5,41.01,9.83,26.20,13.1002,2.7752,41.9057,1.7251,13.1002,2.7752,0,13.1002,2.7752,0,10.3231,1.7251,1,0.2000
Al¡a,45,1021,510.5,39.40,26.24,31.66,15.8311,3.2191,14.3473,1.9914,14.3473,1.9914,1,14.3473,1.9914,1,12.0490,1.9914,1,0.2000
Cañaveral,30,1284,642.0,2.20,12.90,26.92,13.4576,1.7030,12.4216,1.0818,12.4216,1.0818,1,12.4216,1.0818,1,11.1394,1.0818,1,0.2000
Villamiel,31,675,337.5,38.40,30.51,32.93,16.4637,3.3172,15.9819,2.0503,15.9819,2.0503,1,15.9819,2.0503,1,12.4474,2.0503,1,0.2000
Baños de Montemayor,22,703,351.5,38.36,14.86,27.43,13.7147,2.8465,14.1850,1.7679,13.7147,2.8465,0,13.7147,2.8465,0,10.6786,1.7679,1,0.2000
