municipio,planta_id,poblacion,produccion_t,d_km,d_obra_km,C_loopA_euro_t,LC0_euro_hab,CE0_kg_hab,LC_S1_euro_hab,CE_S1_kg_hab,LC_S2_euro_hab,CE_S2_kg_hab,onsite_S2,LC_S2cap_euro_hab,CE_S2cap_kg_hab,onsite_S2cap,LC_S3_euro_hab,CE_S3_kg_hab,onsite_S3,credito_EF5_kg_hab
Villarta de los Montes,11,587,293.5,117.13,33.44,60.90,30.4521,5.7671,27.3754,4.0820,27.3754,4.0820,1,27.3754,4.0820,1,23.2338,4.0820,1,0.1500
Carrascalejo,42,337,168.5,54.19,16.65,44.86,22.4290,3.3752,24.9187,2.4077,22.4290,3.3752,0,22.4290,3.3752,0,18.1164,2.4077,1,0.1500
Helechosa de los Montes,11,716,358.0,86.49,33.44,50.17,25.0871,4.8479,22.8526,3.4385,22.8526,3.4385,1,22.8526,3.4385,1,19.4783,3.4385,1,0.1500
Valdecaballeros,11,1218,609.0,67.27,33.44,43.44,21.7221,4.2713,19.0580,3.0349,19.0580,3.0349,1,19.0580,3.0349,1,17.1228,3.0349,1,0.1500
Cabañas del Castillo,42,423,211.5,32.69,16.65,37.33,18.6640,2.7302,20.7750,1.9562,18.6640,2.7302,0,18.6640,2.7302,0,15.4809,1.9562,1,0.1500
Valencia del Mombuey,5,782,391.0,69.19,32.00,42.51,21.2551,4.2857,19.8755,3.0450,19.8755,3.0450,1,19.8755,3.0450,1,16.7578,3.0450,1,0.1500
Monroy,33,994,497.0,31.43,14.27,35.84,17.9178,2.6211,16.8575,1.8798,16.8575,1.8798,1,16.8575,1.8798,1,14.9516,1.8798,1,0.1500
Santiago del Campo,30,307,153.5,25.41,12.90,35.04,17.5176,2.3993,22.2056,1.7245,17.5176,2.3993,0,17.5176,2.3993,0,14.7272,1.7245,1,0.1500
Talaván,30,923,461.5,25.31,12.90,35.01,17.5026,2.3963,16.7604,1.7224,16.7604,1.7224,1,16.7604,1.7224,1,14.7167,1.7224,1,0.1500
Granja de Torrehermosa,16,2377,1188.5,44.02,23.94,38.19,19.0942,3.2887,16.2177,2.3471,16.2177,2.3471,1,16.2177,2.3471,1,15.6049,2.3471,1,0.1500
Castilblanco,11,1151,575.5,57.66,33.44,40.08,20.0421,3.9830,18.0015,2.8331,18.0015,2.8331,1,18.0015,2.8331,1,15.9468,2.8331,1,0.1500
Higuera la Real,5,2474,1237.0,60.81,32.00,39.57,19.7851,4.0343,16.6601,2.8690,16.6601,2.8690,1,16.6601,2.8690,1,15.7288,2.8690,1,0.1500
Hinojal,30,441,220.5,18.63,12.90,32.67,16.3326,2.1959,18.9017,1.5821,16.3326,2.1959,0,16.3326,2.1959,0,13.8977,1.5821,1,0.1500
Deleitosa,42,838,419.0,23.05,16.65,33.96,16.9790,2.4410,16.6686,1.7537,16.6686,1.7537,1,16.6686,1.7537,1,14.3014,1.7537,1,0.1500
Torrejón el Rubio,33,614,307.0,21.99,14.27,32.53,16.2628,2.3379,17.2556,1.6815,16.2628,2.3379,0,16.2628,2.3379,0,13.7931,1.6815,1,0.1500
Fresnedoso de Ibor,42,329,164.5,17.19,16.65,31.91,15.9540,2.2652,20.5666,1.6307,15.9540,2.2652,0,15.9540,2.2652,0,13.5839,1.6307,1,0.1500
Malcocinado,10,449,224.5,54.90,26.70,35.23,17.6128,3.6981,19.6969,2.6336,17.6128,3.6981,0,17.6128,3.6981,0,14.1980,2.6336,1,0.1500
Villar del Pedroso,27,673,336.5,49.61,9.83,29.21,14.6052,3.0332,15.7384,2.1682,14.6052,3.0332,0,14.6052,3.0332,0,12.0866,2.1682,1,0.1500
Eljas,31,1033,516.5,48.34,30.51,36.41,18.2037,3.6154,16.9627,2.5758,16.9627,2.5758,1,16.9627,2.5758,1,14.7118,2.5758,1,0.1500
Valverde del Fresno,31,2509,1254.5,47.38,30.51,36.07,18.0337,3.5866,15.4200,2.5556,15.4200,2.5556,1,15.4200,2.5556,1,14.5928,2.5556,1,0.1500
Herrera de Alcántara,39,285,142.5,47.17,16.47,30.89,15.4431,3.1593,21.3821,2.2565,15.4431,3.1593,0,15.4431,3.1593,0,12.7527,2.2565,1,0.1500
San Martín de Trevejo,31,916,458.0,46.39,30.51,35.73,17.8637,3.5569,17.0339,2.5348,17.0339,2.5348,1,17.0339,2.5348,1,14.4738,2.5348,1,0.1500
Pedroso de Acim,30,115,57.5,9.51,12.90,29.48,14.7376,1.9223,33.8554,1.3906,14.7376,1.9223,0,14.7376,1.9223,0,12.7812,1.3906,1,0.1500
Piedras Albas,24,207,103.5,19.59,9.40,28.19,14.0953,2.1198,23.7440,1.5288,14.0953,2.1198,0,14.0953,2.1198,0,12.2196,1.5288,1,0.1500
Cedillo,39,497,248.5,45.47,16.47,30.30,15.1481,3.1083,17.4338,2.2208,15.1481,3.1083,0,15.1481,3.1083,0,12.5462,2.2208,1,0.1500
Garganta. La,22,490,245.0,44.70,14.86,29.66,14.8297,3.0367,17.2828,2.1707,14.8297,3.0367,0,14.8297,3.0367,0,12.2306,2.1707,1,0.1500
Oliva de la Frontera,5,5612,2806.0,49.23,32.00,35.52,17.7601,3.6869,14.6775,2.6258,14.6775,2.6258,1,14.6775,2.6258,1,14.3113,2.6258,1,0.1500
Mirabel,33,730,365.0,12.78,14.27,29.31,14.6528,2.0616,15.4816,1.4881,14.6528,2.0616,0,14.6528,2.0616,0,12.6661,1.4881,1,0.1500
Acehúche,24,852,426.0,17.89,9.40,27.59,13.7953,2.0688,14.3910,1.4931,13.7953,2.0688,0,13.7953,2.0688,0,12.0096,1.4931,1,0.1500
Casas de Millán,30,690,345.0,7.55,12.90,28.79,14.3926,1.8635,15.4980,1.3495,14.3926,1.8635,0,14.3926,1.8635,0,12.5397,1.3495,1,0.1500
Pesga. La,21,1123,561.5,41.77,21.42,31.50,15.7493,3.1458,15.0507,2.2471,15.0507,2.2471,1,15.0507,2.2471,1,13.1067,2.2471,1,0.1500
Zah¡nos,13,2906,1453.0,48.82,22.19,31.45,15.7237,3.3804,13.6669,2.4113,13.6669,2.4113,1,13.6669,2.4113,1,12.8740,2.4113,1,0.1500
Robledollano,42,402,201.0,9.51,16.65,29.22,14.6090,2.0348,18.2452,1.4694,14.6090,2.0348,0,14.6090,2.0348,0,12.6424,1.4694,1,0.1500
Peraleda del Zaucejo,16,608,304.0,25.16,23.94,31.58,15.7892,2.7229,16.9643,1.9511,15.7892,2.7229,0,15.7892,2.7229,0,13.2914,1.9511,1,0.1500
Herreruela,44,386,193.0,37.69,16.91,29.01,14.5045,2.8880,18.4299,2.0666,14.5045,2.8880,0,14.5045,2.8880,0,12.2518,2.0666,1,0.1500
Navalvillar de Ibor,42,504,252.0,8.48,16.65,28.86,14.4290,2.0039,16.8606,1.4478,14.4290,2.0039,0,14.4290,2.0039,0,12.5164,1.4478,1,0.1500
Madrigalejo,45,1953,976.5,40.60,26.24,32.08,16.0411,3.2551,14.3089,2.3235,14.3089,2.3235,1,14.3089,2.3235,1,13.1791,2.3235,1,0.1500
Herrera del Duque,11,3688,1844.0,41.87,33.44,34.55,17.2771,3.5093,14.5718,2.5015,14.5718,2.5015,1,14.5718,2.5015,1,14.0113,2.5015,1,0.1500
Valdelacasa de Tajo,27,455,227.5,41.08,9.83,26.23,13.1152,2.7773,16.4752,1.9891,13.1152,2.7773,0,13.1152,2.7773,0,11.0436,1.9891,1,0.1500
Campillo de Deleitosa,27,79,39.5,41.01,9.83,26.20,13.1002,2.7752,42.6157,1.9876,13.1002,2.7752,0,13.1002,2.7752,0,11.0331,1.9876,1,0.1500
Al¡a,45,1021,510.5,39.40,26.24,31.66,15.8311,3.2191,15.3304,2.2983,15.3304,2.2983,1,15.3304,2.2983,1,13.0321,2.2983,1,0.1500
Cañaveral,30,1284,642.0,2.20,12.90,26.92,13.4576,1.7030,13.1673,1.2371,13.1673,1.2371,1,13.1673,1.2371,1,11.8852,1.2371,1,0.1500
Villamiel,31,675,337.5,38.40,30.51,32.93,16.4637,3.3172,17.0283,2.3670,16.4637,3.3172,0,16.4637,3.3172,0,13.4938,2.3670,1,0.1500
Baños de Montemayor,22,703,351.5,38.36,14.86,27.43,13.7147,2.8465,14.9565,2.0375,13.7147,2.8465,0,13.7147,2.8465,0,11.4501,2.0375,1,0.1500
Alcollarín,36,266,133.0,16.99,5.80,24.07,12.0352,1.9337,19.6231,1.3986,12.0352,1.9337,0,12.0352,1.9337,0,10.3886,1.3986,1,0.1500
Manchita,3,764,382.0,45.83,15.82,27.41,13.7039,3.0996,14.6650,2.2147,13.7039,3.0996,0,13.7039,3.0996,0,11.4192,2.2147,1,0.1500
Cilleros,31,1868,934.0,36.74,30.51,32.35,16.1737,3.2674,14.4599,2.3322,14.4599,2.3322,1,14.4599,2.3322,1,13.2908,2.3322,1,0.1500
Campillo de Llerena,10,1518,759.0,42.74,26.70,30.97,15.4828,3.3333,14.2849,2.3783,14.2849,2.3783,1,14.2849,2.3783,1,12.7070,2.3783,1,0.1500
Valle de Santa Ana,9,1192,596.0,49.43,18.53,28.01,14.0036,3.2889,13.6998,2.3473,13.6998,2.3473,1,13.6998,2.3473,1,11.6322,2.3473,1,0.1500
Abertura,36,454,227.0,15.50,5.80,23.55,11.7752,1.8890,15.5492,1.3673,11.7752,1.8890,0,11.7752,1.8890,0,10.2066,1.3673,1,0.1500
Villagarcía de la Torre,1,986,493.0,37.15,15.43,26.90,13.4501,2.8274,13.7506,2.0242,13.4501,2.8274,0,13.4501,2.8274,0,11.2946,2.0242,1,0.1500
Villanueva del Fresno,13,3678,1839.0,42.26,22.19,29.15,14.5737,3.1836,12.6813,2.2735,12.6813,2.2735,1,12.6813,2.2735,1,12.0690,2.2735,1,0.1500
Zarza la Mayor,24,1409,704.5,9.35,9.40,24.60,12.3003,1.8126,12.1845,1.3138,12.1845,1.3138,1,12.1845,1.3138,1,10.9631,1.3138,1,0.1500
Villamesías,36,311,155.5,14.91,5.80,23.34,11.6702,1.8713,18.0077,1.3549,11.6702,1.8713,0,11.6702,1.8713,0,10.1331,1.3549,1,0.1500
Valle de Matamoros,5,423,211.5,40.60,32.00,32.50,16.2501,3.4280,19.0852,2.4446,16.2501,3.4280,0,16.2501,3.4280,0,13.2543,2.4446,1,0.1500
Aldeacentenera,19,774,387.0,35.41,15.66,26.68,13.3396,2.7820,14.3677,1.9924,13.3396,2.7820,0,13.3396,2.7820,0,11.2700,1.9924,1,0.1500
