municipio,planta_id,poblacion,produccion_t,d_km,d_obra_km,C_loopA_euro_t,LC0_euro_hab,CE0_kg_hab,LC_S1_euro_hab,CE_S1_kg_hab,LC_S2_euro_hab,CE_S2_kg_hab,onsite_S2,LC_S2cap_euro_hab,CE_S2cap_kg_hab,onsite_S2cap,LC_S3_euro_hab,CE_S3_kg_hab,onsite_S3,credito_EF5_kg_hab
Villarta de los Montes,11,587,293.5,117.13,33.44,60.90,30.4521,5.7671,32.2658,5.2054,30.4521,5.7671,0,30.4521,5.7671,0,28.1242,5.2054,1,0.0500
Carrascalejo,42,337,168.5,54.19,16.65,44.86,22.4290,3.3752,28.2045,3.0527,22.4290,3.3752,0,22.4290,3.3752,0,21.4022,3.0527,1,0.0500
Helechosa de los Montes,11,716,358.0,86.49,33.44,50.17,25.0871,4.8479,26.6700,4.3781,25.0871,4.8479,0,25.0871,4.8479,0,23.2957,4.3781,1,0.0500
Valdecaballeros,11,1218,609.0,67.27,33.44,43.44,21.7221,4.2713,22.2024,3.8592,21.7221,4.2713,0,21.7221,4.2713,0,20.2672,3.8592,1,0.0500
Cabañas del Castillo,42,423,211.5,32.69,16.65,37.33,18.6640,2.7302,23.3078,2.4722,18.6640,2.7302,0,18.6640,2.7302,0,18.0137,2.4722,1,0.0500
Valencia del Mombuey,5,782,391.0,69.19,32.00,42.51,21.2551,4.2857,22.9265,3.8721,21.2551,4.2857,0,21.2551,4.2857,0,19.8088,3.8721,1,0.0500
Monroy,33,994,497.0,31.43,14.27,35.84,17.9178,2.6211,19.2411,2.3740,17.9178,2.6211,0,17.9178,2.6211,0,17.3351,2.3740,1,0.0500
Santiago del Campo,30,307,153.5,25.41,12.90,35.04,17.5176,2.3993,24.5091,2.1744,17.5176,2.3993,0,17.5176,2.3993,0,17.0307,2.1744,1,0.0500
Talaván,30,923,461.5,25.31,12.90,35.01,17.5026,2.3963,19.0609,2.1717,17.5026,2.3963,0,17.5026,2.3963,0,17.0172,2.1717,1,0.0500
Granja de Torrehermosa,16,2377,1188.5,44.02,23.94,38.19,19.0942,3.2887,18.8365,2.9749,18.8365,2.9749,1,18.8365,2.9749,1,18.2238,2.9749,1,0.0500
Castilblanco,11,1151,575.5,57.66,33.44,40.08,20.0421,3.9830,20.8099,3.5997,20.0421,3.9830,0,20.0421,3.9830,0,18.7552,3.5997,1,0.0500
Higuera la Real,5,2474,1237.0,60.81,32.00,39.57,19.7851,4.0343,19.4171,3.6459,19.4171,3.6459,1,19.4171,3.6459,1,18.4858,3.6459,1,0.0500
Hinojal,30,441,220.5,18.63,12.90,32.67,16.3326,2.1959,20.9683,1.9913,16.3326,2.1959,0,16.3326,2.1959,0,15.9642,1.9913,1,0.0500
Deleitosa,42,838,419.0,23.05,16.65,33.96,16.9790,2.4410,18.8644,2.2119,16.9790,2.4410,0,16.9790,2.4410,0,16.4972,2.2119,1,0.0500
Torrejón el Rubio,33,614,307.0,21.99,14.27,32.53,16.2628,2.3379,19.3081,2.1191,16.2628,2.3379,0,16.2628,2.3379,0,15.8456,2.1191,1,0.0500
Fresnedoso de Ibor,42,329,164.5,17.19,16.65,31.91,15.9540,2.2652,22.5574,2.0537,15.9540,2.2652,0,15.9540,2.2652,0,15.5747,2.0537,1,0.0500
Malcocinado,10,449,224.5,54.90,26.70,35.23,17.6128,3.6981,22.0195,3.3433,17.6128,3.6981,0,17.6128,3.6981,0,16.5206,3.3433,1,0.0500
Villar del Pedroso,27,673,336.5,49.61,9.83,29.21,14.6052,3.0332,17.4594,2.7449,14.6052,3.0332,0,14.6052,3.0332,0,13.8077,2.7449,1,0.0500
Eljas,31,1033,516.5,48.34,30.51,36.41,18.2037,3.6154,19.4035,3.2689,18.2037,3.6154,0,18.2037,3.6154,0,17.1525,3.2689,1,0.0500
Valverde del Fresno,31,2509,1254.5,47.38,30.51,36.07,18.0337,3.5866,17.8267,3.2429,17.8267,3.2429,1,17.8267,3.2429,1,16.9995,3.2429,1,0.0500
Herrera de Alcántara,39,285,142.5,47.17,16.47,30.89,15.4431,3.1593,23.2707,2.8584,15.4431,3.1593,0,15.4431,3.1593,0,14.6413,2.8584,1,0.0500
San Martín de Trevejo,31,916,458.0,46.39,30.51,35.73,17.8637,3.5569,19.4066,3.2162,17.8637,3.5569,0,17.8637,3.5569,0,16.8465,3.2162,1,0.0500
Pedroso de Acim,30,115,57.5,9.51,12.90,29.48,14.7376,1.9223,35.6030,1.7451,14.7376,1.9223,0,14.7376,1.9223,0,14.5287,1.7451,1,0.0500
Piedras Albas,24,207,103.5,19.59,9.40,28.19,14.0953,2.1198,25.3631,1.9228,14.0953,2.1198,0,14.0953,2.1198,0,13.8387,1.9228,1,0.0500
Cedillo,39,497,248.5,45.47,16.47,30.30,15.1481,3.1083,19.2634,2.8125,15.1481,3.1083,0,15.1481,3.1083,0,14.3758,2.8125,1,0.0500
Garganta. La,22,490,245.0,44.70,14.86,29.66,14.8297,3.0367,19.0488,2.7480,14.8297,3.0367,0,14.8297,3.0367,0,13.9965,2.7480,1,0.0500
Oliva de la Frontera,5,5612,2806.0,49.23,32.00,35.52,17.7601,3.6869,17.0295,3.3332,17.0295,3.3332,1,17.0295,3.3332,1,16.6633,3.3332,1,0.0500
Mirabel,33,730,365.0,12.78,14.27,29.31,14.6528,2.0616,17.2121,1.8704,14.6528,2.0616,0,14.6528,2.0616,0,14.3966,1.8704,1,0.0500
Acehúche,24,852,426.0,17.89,9.40,27.59,13.7953,2.0688,15.9501,1.8769,13.7953,2.0688,0,13.7953,2.0688,0,13.5687,1.8769,1,0.0500
Casas de Millán,30,690,345.0,7.55,12.90,28.79,14.3926,1.8635,17.1765,1.6922,14.3926,1.8635,0,14.3926,1.8635,0,14.2182,1.6922,1,0.0500
Pesga. La,21,1123,561.5,41.77,21.42,31.50,15.7493,3.1458,17.0006,2.8463,15.7493,3.1458,0,15.7493,3.1458,0,15.0565,2.8463,1,0.0500
Zah¡nos,13,2906,1453.0,48.82,22.19,31.45,15.7237,3.3804,15.6116,3.0573,15.6116,3.0573,1,15.6116,3.0573,1,14.8187,3.0573,1,0.0500
Robledollano,42,402,201.0,9.51,16.65,29.22,14.6090,2.0348,19.9670,1.8464,14.6090,2.0348,0,14.6090,2.0348,0,14.3642,1.8464,1,0.0500
Peraleda del Zaucejo,16,608,304.0,25.16,23.94,31.58,15.7892,2.7229,18.9221,2.4657,15.7892,2.7229,0,15.7892,2.7229,0,15.2493,2.4657,1,0.0500
Herreruela,44,386,193.0,37.69,16.91,29.01,14.5045,2.8880,20.1308,2.6142,14.5045,2.8880,0,14.5045,2.8880,0,13.9527,2.6142,1,0.0500
