municipio,planta_id,poblacion,produccion_t,d_km,d_obra_km,C_loopA_euro_t,LC0_euro_hab,CE0_kg_hab,LC_S1_euro_hab,CE_S1_kg_hab,LC_S2_euro_hab,CE_S2_kg_hab,onsite_S2,LC_S2cap_euro_hab,CE_S2cap_kg_hab,onsite_S2cap,LC_S3_euro_hab,CE_S3_kg_hab,onsite_S3,credito_EF5_kg_hab
Navalvillar de Ibor,42,504,252.0,8.48,16.65,28.86,14.4290,2.0039,18.5464,1.8185,14.4290,2.0039,0,14.4290,2.0039,0,14.2022,1.8185,1,0.0500
Madrigalejo,45,1953,976.5,40.60,26.24,32.08,16.0411,3.2551,16.3171,2.9445,16.0411,3.2551,0,16.0411,3.2551,0,15.1873,2.9445,1,0.0500
Herrera del Duque,11,3688,1844.0,41.87,33.44,34.55,17.2771,3.5093,16.8273,3.1734,16.8273,3.1734,1,16.8273,3.1734,1,16.2667,3.1734,1,0.0500
Valdelacasa de Tajo,27,455,227.5,41.08,9.83,26.23,13.1152,2.7773,17.8982,2.5146,13.1152,2.7773,0,13.1152,2.7773,0,12.4667,2.5146,1,0.0500
Campillo de Deleitosa,27,79,39.5,41.01,9.83,26.20,13.1002,2.7752,44.0358,2.5127,13.1002,2.7752,0,13.1002,2.7752,0,12.4532,2.5127,1,0.0500
Al¡a,45,1021,510.5,39.40,26.24,31.66,15.8311,3.2191,17.2966,2.9121,15.8311,3.2191,0,15.8311,3.2191,0,14.9983,2.9121,1,0.0500
Cañaveral,30,1284,642.0,2.20,12.90,26.92,13.4576,1.7030,14.6589,1.5477,13.4576,1.7030,0,13.4576,1.7030,0,13.3767,1.5477,1,0.0500
Villamiel,31,675,337.5,38.40,30.51,32.93,16.4637,3.3172,19.1210,3.0005,16.4637,3.3172,0,16.4637,3.3172,0,15.5865,3.0005,1,0.0500
Baños de Montemayor,22,703,351.5,38.36,14.86,27.43,13.7147,2.8465,16.4994,2.5768,13.7147,2.8465,0,13.7147,2.8465,0,12.9930,2.5768,1,0.0500
Alcollarín,36,266,133.0,16.99,5.80,24.07,12.0352,1.9337,20.8302,1.7554,12.0352,1.9337,0,12.0352,1.9337,0,11.5956,1.7554,1,0.0500
Manchita,3,764,382.0,45.83,15.82,27.41,13.7039,3.0996,16.2058,2.8046,13.7039,3.0996,0,13.7039,3.0996,0,12.9600,2.8046,1,0.0500
Cilleros,31,1868,934.0,36.74,30.51,32.35,16.1737,3.2674,16.4947,2.9557,16.1737,3.2674,0,16.1737,3.2674,0,15.3255,2.9557,1,0.0500
Campillo de Llerena,10,1518,759.0,42.74,26.70,30.97,15.4828,3.3333,16.1814,3.0149,15.4828,3.3333,0,15.4828,3.3333,0,14.6036,3.0149,1,0.0500
Valle de Santa Ana,9,1192,596.0,49.43,18.53,28.01,14.0036,3.2889,15.3006,2.9751,14.0036,3.2889,0,14.0036,3.2889,0,13.2329,2.9751,1,0.0500
Abertura,36,454,227.0,15.50,5.80,23.55,11.7752,1.8890,16.7043,1.7151,11.7752,1.8890,0,11.7752,1.8890,0,11.3616,1.7151,1,0.0500
Villagarcía de la Torre,1,986,493.0,37.15,15.43,26.90,13.4501,2.8274,15.2406,2.5596,13.4501,2.8274,0,13.4501,2.8274,0,12.7846,2.5596,1,0.0500
Villanueva del Fresno,13,3678,1839.0,42.26,22.19,29.15,14.5737,3.1836,14.3960,2.8802,14.3960,2.8802,1,14.3960,2.8802,1,13.7837,2.8802,1,0.0500
Zarza la Mayor,24,1409,704.5,9.35,9.40,24.60,12.3003,1.8126,13.4446,1.6463,12.3003,1.8126,0,12.3003,1.8126,0,12.2232,1.6463,1,0.0500
Villamesías,36,311,155.5,14.91,5.80,23.34,11.6702,1.8713,19.1418,1.6992,11.6702,1.8713,0,11.6702,1.8713,0,11.2671,1.6992,1,0.0500
Valle de Matamoros,5,423,211.5,40.60,32.00,32.50,16.2501,3.4280,21.1352,3.1002,16.2501,3.4280,0,16.2501,3.4280,0,15.3043,3.1002,1,0.0500
Aldeacentenera,19,774,387.0,35.41,15.66,26.68,13.3396,2.7820,15.8357,2.5188,13.3396,2.7820,0,13.3396,2.7820,0,12.7379,2.5188,1,0.0500
Retamal de Llerena,6,501,250.5,35.94,9.98,24.62,12.3111,2.6275,16.6700,2.3798,12.3111,2.6275,0,12.3111,2.6275,0,11.7973,2.3798,1,0.0500
Campo Lugar,36,1030,515.0,14.29,5.80,23.12,11.5602,1.8527,13.4314,1.6825,11.5602,1.8527,0,11.5602,1.8527,0,11.1681,1.6825,1,0.0500
Valdecañas de Tajo,27,119,59.5,36.13,9.83,24.49,12.2452,2.6288,32.6291,2.3809,12.2452,2.6288,0,12.2452,2.6288,0,11.6837,2.3809,1,0.0500
Codosera. La,39,2322,1161.0,35.39,16.47,26.77,13.3831,2.8059,13.7214,2.5403,13.3831,2.8059,0,13.3831,2.8059,0,12.7873,2.5403,1,0.0500
Almoharín,36,1997,998.5,13.70,5.80,22.91,11.4552,1.8350,12.1615,1.6665,11.4552,1.8350,0,11.4552,1.8350,0,11.0736,1.6665,1,0.0500
Garciaz,19,851,425.5,34.37,15.66,26.32,13.1596,2.7508,15.3814,2.4907,13.1596,2.7508,0,13.1596,2.7508,0,12.5759,2.4907,1,0.0500
Casta¤ar de Ibor,42,1225,612.5,1.97,16.65,26.58,13.2890,1.8086,14.6009,1.6428,13.2890,1.8086,0,13.2890,1.8086,0,13.1762,1.6428,1,0.0500
Serradilla,33,1766,883.0,2.55,14.27,25.73,12.8628,1.7547,13.5921,1.5942,12.8628,1.7547,0,12.8628,1.7547,0,12.7856,1.5942,1,0.0500
Salvaleón,13,2049,1024.5,39.70,22.19,28.26,14.1287,3.1068,14.5359,2.8111,14.1287,3.1068,0,14.1287,3.1068,0,13.3832,2.8111,1,0.0500
Navalvillar de Pela,45,4787,2393.5,33.53,26.24,29.60,14.8011,3.0430,14.4433,2.7537,14.4433,2.7537,1,14.4433,2.7537,1,14.0713,2.7537,1,0.0500
Garvín,27,105,52.5,34.28,9.83,23.85,11.9252,2.5733,35.1422,2.3310,11.9252,2.5733,0,11.9252,2.5733,0,11.3957,2.3310,1,0.0500
Navezuelas,45,698,349.0,33.34,26.24,29.54,14.7711,3.0373,17.4757,2.7485,14.7711,3.0373,0,14.7711,3.0373,0,14.0443,2.7485,1,0.0500
Calera de León,8,1060,530.0,32.80,12.07,24.54,12.2724,2.5961,14.0037,2.3515,12.2724,2.5961,0,12.2724,2.5961,0,11.8287,2.3515,1,0.0500
Azuaga,10,8301,4150.5,39.02,26.70,29.67,14.8328,3.2217,14.2507,2.9145,14.2507,2.9145,1,14.2507,2.9145,1,14.0186,2.9145,1,0.0500
Madrigal de la Vera,22,1819,909.5,32.22,14.86,25.29,12.6447,2.6623,13.3546,2.4110,12.6447,2.6623,0,12.6447,2.6623,0,12.0300,2.4110,1,0.0500
Bienvenida,1,2326,1163.0,33.06,15.43,25.47,12.7351,2.7047,13.1364,2.4492,12.7351,2.7047,0,12.7351,2.7047,0,12.1411,2.4492,1,0.0500
Carbajo,39,227,113.5,32.50,16.47,25.76,12.8781,2.7192,23.2035,2.4623,12.8781,2.7192,0,12.8781,2.7192,0,12.3328,2.4623,1,0.0500
Fuenlabrada de los Montes,11,1955,977.5,33.62,33.44,31.67,15.8371,3.2618,16.1322,2.9506,15.8371,3.2618,0,15.8371,3.2618,0,14.9707,2.9506,1,0.0500
Casas de Don Pedro,11,1632,816.0,33.49,33.44,31.62,15.8121,3.2579,16.3628,2.9471,15.8121,3.2579,0,15.8121,3.2579,0,14.9482,2.9471,1,0.0500
Berrocalejo,27,105,52.5,32.89,9.83,23.36,11.6802,2.5316,34.9217,2.2934,11.6802,2.5316,0,11.6802,2.5316,0,11.1752,2.2934,1,0.0500
Mohedas de Granadilla,21,976,488.0,30.01,21.42,27.38,13.6893,2.7930,15.4819,2.5287,13.6893,2.7930,0,13.6893,2.7930,0,13.2025,2.5287,1,0.0500
Oliva de Mérida,1,1875,937.5,32.40,15.43,25.24,12.6201,2.6849,13.2915,2.4314,12.6201,2.6849,0,12.6201,2.6849,0,12.0376,2.4314,1,0.0500
Palomero,25,452,226.0,31.92,8.52,22.79,11.3954,2.4631,16.3868,2.2318,11.3954,2.4631,0,11.3954,2.4631,0,11.0816,2.2318,1,0.0500
Marchagaz,21,248,124.0,29.70,21.42,27.28,13.6393,2.7837,22.9561,2.5204,13.6393,2.7837,0,13.6393,2.7837,0,13.1575,2.5204,1,0.0500
Ceclavín,24,2054,1027.0,4.89,9.40,23.04,11.5203,1.6788,12.1854,1.5259,11.5203,1.6788,0,11.5203,1.6788,0,11.5203,1.6788,0,0.0500
Botija,41,199,99.5,31.10,14.01,24.58,12.2924,2.6034,24.2260,2.3581,12.2924,2.6034,0,12.2924,2.6034,0,11.8291,2.3581,1,0.0500
Garrovillas de Alconétar,44,2280,1140.0,27.80,16.91,25.55,12.7745,2.5913,13.1936,2.3472,12.7745,2.5913,0,12.7745,2.5913,0,12.3957,2.3472,1,0.0500
Cordobilla de Lácara,41,967,483.5,30.96,14.01,24.53,12.2674,2.5992,14.2260,2.3543,12.2674,2.5992,0,12.2674,2.5992,0,11.8066,2.3543,1,0.0500
Santibáñez el Bajo,22,829,414.5,30.57,14.86,24.71,12.3547,2.6128,14.7349,2.3665,12.3547,2.6128,0,12.3547,2.6128,0,11.7690,2.3665,1,0.0500
Cerezo,22,190,95.0,30.46,14.86,24.67,12.3347,2.6095,24.8591,2.3635,12.3347,2.6095,0,12.3347,2.6095,0,11.7510,2.3635,1,0.0500
Santa Marta de Magasca,19,309,154.5,30.45,15.66,24.95,12.4746,2.6332,19.9178,2.3848,12.4746,2.6332,0,12.4746,2.6332,0,11.9594,2.3848,1,0.0500
Hervás,22,4126,2063.0,30.22,14.86,24.59,12.2947,2.6023,12.2711,2.3570,12.2711,2.3570,1,12.2711,2.3570,1,11.7150,2.3570,1,0.0500
Valle de la Serena,6,1425,712.5,30.62,9.98,22.76,11.3811,2.4679,12.5974,2.2361,11.3811,2.4679,0,11.3811,2.4679,0,10.9603,2.2361,1,0.0500
Salorino,39,689,344.5,30.21,16.47,24.95,12.4731,2.6505,15.4542,2.4005,12.4731,2.6505,0,12.4731,2.6505,0,11.9683,2.4005,1,0.0500
Plasenzuela,41,538,269.0,29.17,14.01,23.91,11.9574,2.5455,16.0085,2.3060,11.9574,2.5455,0,11.9574,2.5455,0,11.5276,2.3060,1,0.0500
Capilla,7,187,93.5,21.43,5.46,20.85,10.4264,2.0568,23.3527,1.8662,10.4264,2.0568,0,10.4264,2.0568,0,10.3304,1.8662,1,0.0500
Guadalupe,45,2096,1048.0,29.25,26.24,28.11,14.0561,2.9146,14.4433,2.6381,14.0561,2.9146,0,14.0561,2.9146,0,13.4008,2.6381,1,0.0500
Peraleda de San Román,27,294,147.0,29.94,9.83,22.33,11.1652,2.4431,19.1521,2.2138,11.1652,2.4431,0,11.1652,2.4431,0,10.7117,2.2138,1,0.0500
Guareña,3,7312,3656.0,37.30,15.82,24.43,12.2139,2.8437,11.9344,2.5743,11.9344,2.5743,1,11.9344,2.5743,1,11.6190,2.5743,1,0.0500
Higuera de Vargas,13,2154,1077.0,34.60,22.19,26.47,13.2337,2.9538,13.6710,2.6734,13.2337,2.9538,0,13.2337,2.9538,0,12.5777,2.6734,1,0.0500
Monesterio,10,4378,2189.0,34.14,26.70,27.96,13.9778,3.0753,13.7511,2.7827,13.7511,2.7827,1,13.7511,2.7827,1,13.2491,2.7827,1,0.0500
Jaraicejo,27,590,295.0,29.06,9.83,22.02,11.0102,2.4167,14.7465,2.1900,11.0102,2.4167,0,11.0102,2.4167,0,10.5722,2.1900,1,0.0500
Cabrero,22,369,184.5,27.80,14.86,23.74,11.8697,2.5297,18.0578,2.2917,11.8697,2.5297,0,11.8697,2.5297,0,11.3325,2.2917,1,0.0500
Acebo,31,685,342.5,27.68,30.51,29.18,14.5887,2.9956,17.3795,2.7110,14.5887,2.9956,0,14.5887,2.9956,0,13.8990,2.7110,1,0.0500
Torno. El,22,988,494.0,27.64,14.86,23.69,11.8447,2.5249,13.7906,2.2874,11.8447,2.5249,0,11.8447,2.5249,0,11.3100,2.2874,1,0.0500
Jerez de los Caballeros,5,10237,5118.5,32.11,32.00,29.53,14.7651,3.1733,14.1328,2.8710,14.1328,2.8710,1,14.1328,2.8710,1,13.9678,2.8710,1,0.0500
Calzadilla de los Barros,5,863,431.5,32.05,32.00,29.51,14.7551,3.1715,16.7764,2.8694,14.7551,3.1715,0,14.7551,3.1715,0,13.9588,2.8694,1,0.0500
Ahigal,22,1457,728.5,26.84,14.86,23.40,11.6997,2.5009,12.8456,2.2658,11.6997,2.5009,0,11.6997,2.5009,0,11.1795,2.2658,1,0.0500
Cabezabellosa,22,418,209.0,26.70,14.86,23.35,11.6747,2.4967,17.0881,2.2620,11.6747,2.4967,0,11.6747,2.4967,0,11.1570,2.2620,1,0.0500
Torrejoncillo,29,3338,1669.0,36.50,9.76,21.50,10.7486,2.6379,11.0227,2.3891,10.7486,2.6379,0,10.7486,2.6379,0,10.3181,2.3891,1,0.0500
Puebla de Obando,18,1988,994.0,43.67,12.70,22.53,11.2631,2.9412,11.9943,2.6621,11.2631,2.9412,0,11.2631,2.9412,0,10.7519,2.6621,1,0.0500
Santiago de Alcántara,39,685,342.5,27.01,16.47,23.83,11.9131,2.5545,14.9714,2.3141,11.9131,2.5545,0,11.9131,2.5545,0,11.4643,2.3141,1,0.0500
Mesas de Ibor,27,173,86.5,27.39,9.83,21.44,10.7202,2.3666,24.6991,2.1449,10.7202,2.3666,0,10.7202,2.3666,0,10.3112,2.1449,1,0.0500
Rosalejo,27,1284,642.0,27.31,9.83,21.41,10.7052,2.3642,12.1818,2.1428,10.7052,2.3642,0,10.7052,2.3642,0,10.2977,2.1428,1,0.0500
Cristina,3,562,281.0,34.61,15.82,23.48,11.7389,2.7630,15.6134,2.5017,11.7389,2.7630,0,11.7389,2.7630,0,11.1915,2.5017,1,0.0500
Hoyos,31,976,488.0,25.78,30.51,28.51,14.2537,2.9386,15.9898,2.6597,14.2537,2.9386,0,14.2537,2.9386,0,13.5975,2.6597,1,0.0500
Barrado,22,477,238.5,25.69,14.86,23.00,11.4997,2.4664,16.1908,2.2347,11.4997,2.4664,0,11.4997,2.4664,0,10.9995,2.2347,1,0.0500
Peñalsordo,7,1210,605.0,18.08,5.46,19.68,9.8414,1.9563,11.5233,1.7757,9.8414,1.9563,0,9.8414,1.9563,0,9.8039,1.7757,1,0.0500
Guijo de Granadilla,22,625,312.5,25.57,14.86,22.96,11.4797,2.4628,14.9317,2.2315,11.4797,2.4628,0,11.4797,2.4628,0,10.9815,2.2315,1,0.0500
Perales del Puerto,31,970,485.0,25.45,30.51,28.40,14.1987,2.9287,15.9562,2.6508,14.1987,2.9287,0,14.1987,2.9287,0,13.5480,2.6508,1,0.0500
Barcarrota,13,3698,1849.0,31.78,22.19,25.48,12.7387,2.8692,12.7409,2.5973,12.7387,2.8692,0,12.7387,2.8692,0,12.1322,2.5973,1,0.0500
Acedera,3,821,410.5,33.91,15.82,23.24,11.6189,2.7420,14.1021,2.4828,11.6189,2.7420,0,11.6189,2.7420,0,11.0835,2.4828,1,0.0500
Membrío,39,851,425.5,25.66,16.47,23.36,11.6781,2.5140,14.0480,2.2776,11.6781,2.5140,0,11.6781,2.5140,0,11.2528,2.2776,1,0.0500
Torrequemada,41,604,302.0,25.04,14.01,22.46,11.2324,2.4216,14.8483,2.1945,11.2324,2.4216,0,11.2324,2.4216,0,10.8751,2.1945,1,0.0500
Mérida,14,56395,28197.5,38.41,30.94,28.30,14.1501,3.3306,13.3794,3.0125,13.3794,3.0125,1,13.3794,3.0125,1,13.3626,3.0125,1,0.0500
Casar de Palomero,21,1378,689.0,22.90,21.42,24.89,12.4443,2.5797,13.6141,2.3368,12.4443,2.5797,0,12.4443,2.5797,0,12.0820,2.3368,1,0.0500
Alburquerque,18,5704,2852.0,41.64,12.70,21.82,10.9081,2.8803,10.8555,2.6073,10.8555,2.6073,1,10.8555,2.6073,1,10.4324,2.6073,1,0.0500
Piornal,22,1537,768.5,24.37,14.86,22.54,11.2697,2.4268,12.3693,2.1991,11.2697,2.4268,0,11.2697,2.4268,0,10.7925,2.1991,1,0.0500
Gordo. El,27,338,169.0,25.48,9.83,20.77,10.3852,2.3093,17.3432,2.0934,10.3852,2.3093,0,10.3852,2.3093,0,10.0097,2.0934,1,0.0500
Cheles,13,1287,643.5,30.65,22.19,25.09,12.5437,2.8353,13.8318,2.5667,12.5437,2.8353,0,12.5437,2.8353,0,11.9567,2.5667,1,0.0500
Entrín Bajo,4,602,301.0,29.75,21.80,24.87,12.4355,2.7966,15.9448,2.5319,12.4355,2.7966,0,12.4355,2.7966,0,11.8649,2.5319,1,0.0500
Usagre,1,1956,978.0,24.92,15.43,22.62,11.3101,2.4605,12.0573,2.2294,11.3101,2.4605,0,11.3101,2.4605,0,10.8586,2.2294,1,0.0500
Esparragosa de Lares,11,1021,510.5,25.66,33.44,28.88,14.4421,3.0230,16.0465,2.7357,14.4421,3.0230,0,14.4421,3.0230,0,13.7152,2.7357,1,0.0500
Ladrillar,21,228,114.0,22.26,21.42,24.67,12.3343,2.5605,22.6658,2.3195,12.3343,2.5605,0,12.3343,2.5605,0,11.9830,2.3195,1,0.0500
Santa Ana,41,299,149.5,23.85,14.01,22.05,11.0274,2.3859,18.8859,2.1623,11.0274,2.3859,0,11.0274,2.3859,0,10.6906,2.1623,1,0.0500
Miajadas,36,10338,5169.0,2.78,5.80,19.09,9.5452,1.5074,9.4325,1.3717,9.4325,1.3717,1,9.4325,1.3717,1,9.3546,1.3717,1,0.0500
Cabeza la Vaca,8,1479,739.5,23.30,12.07,21.22,10.6124,2.3111,11.8415,2.0950,10.6124,2.3111,0,10.6124,2.3111,0,10.3347,2.0950,1,0.0500
Robledillo de Trujillo,41,420,210.0,23.42,14.01,21.90,10.9524,2.3730,16.4096,2.1507,10.9524,2.3730,0,10.9524,2.3730,0,10.6231,2.1507,1,0.0500
Puebla de la Reina,1,860,430.0,24.04,15.43,22.31,11.1551,2.4341,13.5466,2.2057,11.1551,2.4341,0,11.1551,2.4341,0,10.7191,2.2057,1,0.0500
Don Álvaro,14,743,371.5,36.79,30.94,27.74,13.8701,3.2820,16.4478,2.9688,13.8701,3.2820,0,13.8701,3.2820,0,13.1106,2.9688,1,0.0500
Villanueva de la Vera,22,2108,1054.0,22.74,14.86,21.97,10.9847,2.3779,11.6722,2.1551,10.9847,2.3779,0,10.9847,2.3779,0,10.5360,2.1551,1,0.0500
Orellana de la Sierra,3,311,155.5,31.07,15.82,22.24,11.1189,2.6568,18.6456,2.4061,11.1189,2.6568,0,11.1189,2.6568,0,10.6335,2.4061,1,0.0500
Escurial,36,851,425.5,1.69,5.80,18.71,9.3552,1.4747,11.9574,1.3423,9.3552,1.4747,0,9.3552,1.4747,0,9.1836,1.3423,1,0.0500
Casas de Don Antonio,41,213,106.5,22.44,14.01,21.56,10.7824,2.3436,22.0413,2.1243,10.7824,2.3436,0,10.7824,2.3436,0,10.4701,2.1243,1,0.0500
Nava de Santiago. La,14,1089,544.5,36.04,30.94,27.47,13.7351,3.2595,15.2573,2.9486,13.7351,3.2595,0,13.7351,3.2595,0,12.9891,2.9486,1,0.0500
Montemolín,10,1534,767.0,28.42,26.70,25.96,12.9778,2.9037,13.9098,2.6283,12.9778,2.9037,0,12.9778,2.9037,0,12.3491,2.6283,1,0.0500
Llera,1,947,473.5,23.14,15.43,22.00,11.0001,2.4071,13.1400,2.1814,11.0001,2.4071,0,11.0001,2.4071,0,10.5796,2.1814,1,0.0500
Valverde de Llerena,10,714,357.0,28.31,26.70,25.92,12.9578,2.9004,15.7634,2.6253,12.9578,2.9004,0,12.9578,2.9004,0,12.3311,2.6253,1,0.0500
Berlanga,10,2484,1242.0,28.29,26.70,25.91,12.9528,2.8998,13.2640,2.6248,12.9528,2.8998,0,12.9528,2.8998,0,12.3266,2.6248,1,0.0500
Monterrubio de la Serena,16,2710,1355.0,6.05,23.94,24.90,12.4492,2.1496,12.7268,1.9497,12.4492,2.1496,0,12.4492,2.1496,0,12.2433,1.9497,1,0.0500
Pinofranqueado,21,1687,843.5,20.36,21.42,24.01,12.0043,2.5035,12.8858,2.2682,12.0043,2.5035,0,12.0043,2.5035,0,11.6860,2.2682,1,0.0500
Zorita,45,1673,836.5,22.32,26.24,25.68,12.8411,2.7067,13.6513,2.4510,12.8411,2.7067,0,12.8411,2.7067,0,12.3073,2.4510,1,0.0500
Torre de Miguel Sesmero,13,1257,628.5,28.34,22.19,24.28,12.1387,2.7660,13.5137,2.5044,12.1387,2.7660,0,12.1387,2.7660,0,11.5922,2.5044,1,0.0500
Villagonzalo,14,1348,674.0,35.57,30.94,27.31,13.6551,3.2454,14.7442,2.9359,13.6551,3.2454,0,13.6551,3.2454,0,12.9171,2.9359,1,0.0500
Santa Cruz de Paniagua,25,315,157.5,22.38,8.52,19.45,9.7254,2.1769,17.2893,1.9742,9.7254,2.1769,0,9.7254,2.1769,0,9.5786,1.9742,1,0.0500
