municipio,planta_id,poblacion,produccion_t,d_km,d_obra_km,C_loopA_euro_t,LC0_euro_hab,CE0_kg_hab,LC_S1_euro_hab,CE_S1_kg_hab,LC_S2_euro_hab,CE_S2_kg_hab,onsite_S2,LC_S2cap_euro_hab,CE_S2cap_kg_hab,onsite_S2cap,LC_S3_euro_hab,CE_S3_kg_hab,onsite_S3,credito_EF5_kg_hab
Puebla de la Calzada,4,5903,2951.5,26.75,21.80,23.82,11.9105,2.7066,9.3788,1.4283,9.3788,1.4283,1,9.3788,1.4283,1,9.0282,1.4283,1,0.2500
Carmonita,41,581,290.5,20.97,14.01,21.04,10.5224,2.2995,12.5641,1.2248,10.5224,2.2995,0,10.5224,2.2995,0,8.4271,1.2248,1,0.2500
Higuera de la Serena,6,1043,521.5,21.66,9.98,19.62,9.8111,2.1991,10.3025,1.1746,9.8111,2.1991,0,9.8111,2.1991,0,8.0229,1.1746,1,0.2500
Cumbre. La,19,982,491.0,20.89,15.66,21.60,10.7996,2.3464,10.9456,1.2482,10.7996,2.3464,0,10.7996,2.3464,0,8.5320,1.2482,1,0.2500
Ruanes,41,68,34.0,20.72,14.01,20.95,10.4774,2.2920,45.0034,1.2210,10.4774,2.2920,0,10.4774,2.2920,0,8.4046,1.2210,1,0.2500
Corte de Peleas,4,1307,653.5,26.15,21.80,23.61,11.8055,2.6886,10.8155,1.4193,10.8155,1.4193,1,10.8155,1.4193,1,8.9757,1.4193,1,0.2500
Montijo,4,16236,8118.0,26.09,21.80,23.59,11.7955,2.6868,9.0517,1.4184,9.0517,1.4184,1,9.0517,1.4184,1,8.9707,1.4184,1,0.2500
Zarza-Capilla,7,403,201.5,12.88,5.46,17.86,8.9314,1.8003,13.6692,0.9752,8.9314,1.8003,0,8.9314,1.8003,0,7.8124,0.9752,1,0.2500
Torremocha,41,1038,519.0,20.32,14.01,20.81,10.4074,2.2800,10.6122,1.2150,10.4074,2.2800,0,10.4074,2.2800,0,8.3696,1.2150,1,0.2500
Torrecilla de los Ángeles,31,687,343.5,20.03,30.51,26.50,13.2487,2.7661,13.2634,1.4581,13.2487,2.7661,0,13.2487,2.7661,0,9.7935,1.4581,1,0.2500
Valdetorres,3,1331,665.5,28.46,15.82,21.33,10.6639,2.5785,10.2103,1.3642,10.2103,1.3642,1,10.2103,1.3642,1,8.3584,1.3642,1,0.2500
Maguilla,10,1084,542.0,26.08,26.70,25.14,12.5678,2.8335,11.5902,1.4917,11.5902,1.4917,1,11.5902,1.4917,1,9.3530,1.4917,1,0.2500
Mata de Alcántara,44,330,165.0,16.74,16.91,21.68,10.8395,2.2595,15.9955,1.2048,10.8395,2.2595,0,10.8395,2.2595,0,8.7183,1.2048,1,0.2500
Nogales,9,724,362.0,32.96,18.53,22.25,11.1236,2.7948,12.0148,1.4724,11.1236,2.7948,0,11.1236,2.7948,0,8.5915,1.4724,1,0.2500
Puebla de Alcocer,11,1272,636.0,21.42,33.44,27.40,13.7021,2.8958,11.8165,1.5229,11.8165,1.5229,1,11.8165,1.5229,1,9.9684,1.5229,1,0.2500
Valverde de la Vera,22,588,294.0,19.65,14.86,20.89,10.4447,2.2852,12.4740,1.2176,10.4447,2.2852,0,10.4447,2.2852,0,8.2721,1.2176,1,0.2500
Santa Marta,9,4322,2161.0,32.75,18.53,22.17,11.0836,2.7885,9.1202,1.4693,9.1202,1.4693,1,9.1202,1.4693,1,8.5715,1.4693,1,0.2500
Palomas,1,701,350.5,20.29,15.43,21.00,10.5001,2.3216,11.8164,1.2358,10.5001,2.3216,0,10.5001,2.3216,0,8.3296,1.2358,1,0.2500
Valdastillas,22,380,190.0,19.27,14.86,20.76,10.3797,2.2738,14.7688,1.2119,10.3797,2.2738,0,10.3797,2.2738,0,8.2396,1.2119,1,0.2500
Villar de Plasencia,22,229,114.5,19.26,14.86,20.75,10.3747,2.2735,19.1044,1.2117,10.3747,2.2735,0,10.3747,2.2735,0,8.2371,1.2117,1,0.2500
Almendral,13,1307,653.5,25.56,22.19,23.31,11.6537,2.6826,10.7396,1.4163,10.7396,1.4163,1,10.7396,1.4163,1,8.8942,1.4163,1,0.2500
Peraleda de la Mata,27,1453,726.5,20.26,9.83,18.94,9.4702,2.1527,9.4557,1.1513,9.4557,1.1513,1,9.4557,1.1513,1,7.7981,1.1513,1,0.2500
Garlitos,11,681,340.5,20.67,33.44,27.13,13.5671,2.8733,13.4546,1.5117,13.4546,1.5117,1,13.4546,1.5117,1,9.9009,1.5117,1,0.2500
Rebollar,22,237,118.5,18.79,14.86,20.59,10.2947,2.2594,18.6959,1.2047,10.2947,2.2594,0,10.2947,2.2594,0,8.1971,1.2047,1,0.2500
Bohonal de Ibor,27,535,267.5,19.95,9.83,18.83,9.4152,2.1434,12.3805,1.1467,9.4152,2.1434,0,9.4152,2.1434,0,7.7706,1.1467,1,0.2500
Arroyomolinos de la Vera,22,497,248.5,18.57,14.86,20.51,10.2547,2.2528,13.1575,1.2014,10.2547,2.2528,0,10.2547,2.2528,0,8.1771,1.2014,1,0.2500
Talaveruela de la Vera,22,365,182.5,18.52,14.86,20.49,10.2447,2.2513,14.9717,1.2006,10.2447,2.2513,0,10.2447,2.2513,0,8.1721,1.2006,1,0.2500
Zarza de Montánchez,41,619,309.5,18.56,14.01,20.20,10.1024,2.2272,12.0900,1.1886,10.1024,2.2272,0,10.1024,2.2272,0,8.2171,1.1886,1,0.2500
Torrecillas de la Tiesa,19,1179,589.5,18.49,15.66,20.76,10.3796,2.2744,10.3103,1.2122,10.3103,1.2122,1,10.3103,1.2122,1,8.3220,1.2122,1,0.2500
Puebla del Maestre,10,777,388.5,24.45,26.70,24.57,12.2828,2.7846,12.3589,1.4673,12.2828,2.7846,0,12.2828,2.7846,0,9.2105,1.4673,1,0.2500
Berzocana,45,528,264.0,18.53,26.24,24.36,12.1811,2.5930,13.8254,1.3715,12.1811,2.5930,0,12.1811,2.5930,0,9.2409,1.3715,1,0.2500
Villanueva de la Sierra,25,514,257.0,18.67,8.52,18.16,9.0804,2.0656,12.4040,1.1078,9.0804,2.0656,0,9.0804,2.0656,0,7.7659,1.1078,1,0.2500
Gata,31,1662,831.0,18.15,30.51,25.84,12.9187,2.7097,10.9636,1.4299,10.9636,1.4299,1,10.9636,1.4299,1,9.6285,1.4299,1,0.2500
Calzadilla,20,485,242.5,18.00,6.65,17.36,8.6785,1.9895,12.4939,1.0697,8.6785,1.9895,0,8.6785,1.9895,0,7.4464,1.0697,1,0.2500
Herguijuela,19,366,183.0,17.73,15.66,20.49,10.2446,2.2516,14.9529,1.2008,10.2446,2.2516,0,10.2446,2.2516,0,8.2545,1.2008,1,0.2500
Viandar de la Vera,22,266,133.0,17.64,14.86,20.18,10.0897,2.2249,17.4433,1.1874,10.0897,2.2249,0,10.0897,2.2249,0,8.0946,1.1874,1,0.2500
Valencia de las Torres,10,687,343.5,23.71,26.70,24.31,12.1528,2.7624,12.7154,1.4562,12.1528,2.7624,0,12.1528,2.7624,0,9.1455,1.4562,1,0.2500
Fuentes de León,8,2571,1285.5,17.39,12.07,19.14,9.5724,2.1338,8.7586,1.1419,8.7586,1.1419,1,8.7586,1.1419,1,7.9697,1.1419,1,0.2500
Roca de la Sierra. La,18,1526,763.0,34.59,12.70,19.35,9.6731,2.6688,9.4748,1.4094,9.4748,1.4094,1,9.4748,1.4094,1,7.8517,1.4094,1,0.2500
Navas del Madro¤o,44,1444,722.0,14.25,16.91,20.81,10.4045,2.1848,9.9336,1.1674,9.9336,1.1674,1,9.9336,1.1674,1,8.5008,1.1674,1,0.2500
Casas del Castañar,29,639,319.5,27.26,9.76,18.27,9.1336,2.3607,11.4791,1.2553,9.1336,2.3607,0,9.1336,2.3607,0,7.6111,1.2553,1,0.2500
Orellana la Vieja,3,3015,1507.5,25.73,15.82,20.38,10.1889,2.4966,8.9237,1.3233,8.9237,1.3233,1,8.9237,1.3233,1,8.1209,1.3233,1,0.2500
Casillas de Coria,20,470,235.0,17.45,6.65,17.17,8.5835,1.9730,12.6109,1.0615,8.5835,1.9730,0,8.5835,1.9730,0,7.3989,1.0615,1,0.2500
Aliseda,46,1982,991.0,32.41,12.67,19.27,9.6329,2.6025,9.0778,1.3763,9.0778,1.3763,1,9.0778,1.3763,1,7.8381,1.3763,1,0.2500
Valdemorales,41,230,115.0,17.21,14.01,19.72,9.8624,2.1867,18.8008,1.1684,9.8624,2.1867,0,9.8624,2.1867,0,8.0971,1.1684,1,0.2500
Caminomorisco,21,1258,629.0,15.53,21.42,22.32,11.1593,2.3586,10.5670,1.2543,10.5670,1.2543,1,10.5670,1.2543,1,8.8618,1.2543,1,0.2500
Tejeda de Tiétar,22,887,443.5,17.04,14.86,19.97,9.9847,2.2069,10.8108,1.1784,9.9847,2.2069,0,9.9847,2.2069,0,8.0421,1.1784,1,0.2500
Salvatierra de Santiago,41,302,151.0,16.92,14.01,19.62,9.8124,2.1780,16.1844,1.1640,9.8124,2.1780,0,9.8124,2.1780,0,8.0721,1.1640,1,0.2500
